paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,direct_llm,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982,120 days,Randomized Complete Block Design (RCBD),28 November 1982,19 December 1982,120 days after sowing,120 days after sowing,,-32.85,115.92,Australia,Maize (Zea mays),Cowpea (Vigna unguiculata),cereal,legume,0,0,Row,50000,100000,50000,100000,,80,0,80,0,80,kg N ha‑1,4,4,4,4,Table 1 (yield components) / Table 2 (N data),,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,direct_llm,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982,120 days,Randomized Complete Block Design (RCBD),9 December 1982,19 December 1982,120 days after sowing,120 days after sowing,,-32.85,115.92,Australia,Maize (Zea mays),Cowpea (Vigna unguiculata),cereal,legume,0,0,Row,50000,100000,50000,100000,,80,0,80,0,80,kg N ha‑1,4,4,4,4,Table 1 (yield components) / Table 2 (N data),,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,direct_llm,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982,120 days,Randomized Complete Block Design (RCBD),19 December 1982,19 December 1982,120 days after sowing,120 days after sowing,,-32.85,115.92,Australia,Maize (Zea mays),Cowpea (Vigna unguiculata),cereal,legume,0,0,Row,50000,100000,50000,100000,,80,0,80,0,80,kg N ha‑1,4,4,4,4,Table 1 (yield components) / Table 2 (N data),,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,direct_llm,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982,120 days,Randomized Complete Block Design (RCBD),29 December 1982,19 December 1982,120 days after sowing,120 days after sowing,,-32.85,115.92,Australia,Maize (Zea mays),Cowpea (Vigna unguiculata),cereal,legume,0,0,Row,50000,100000,50000,100000,,80,0,80,0,80,kg N ha‑1,4,4,4,4,Table 1 (yield components) / Table 2 (N data),,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,direct_llm,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982,120 days,Randomized Complete Block Design (RCBD),9 January 1983,19 December 1982,120 days after sowing,120 days after sowing,,-32.85,115.92,Australia,Maize (Zea mays),Cowpea (Vigna unguiculata),cereal,legume,0,0,Row,50000,100000,50000,100000,,80,0,80,0,80,kg N ha‑1,4,4,4,4,Table 1 (yield components) / Table 2 (N data),,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,direct_llm,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982,120 days,Randomized Complete Block Design (RCBD),19 December 1982,19 December 1982,120 days after sowing,120 days after sowing,,-32.85,115.92,Australia,Maize (Zea mays),Cowpea (Vigna unguiculata),cereal,legume,0,0,Row,35000,70000,50000,100000,,80,0,80,0,80,kg N ha‑1,4,4,4,4,Table 3 (density effects),,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,direct_llm,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982,120 days,Randomized Complete Block Design (RCBD),19 December 1982,19 December 1982,120 days after sowing,120 days after sowing,,-32.85,115.92,Australia,Maize (Zea mays),Cowpea (Vigna unguiculata),cereal,legume,0,0,Row,35000,100000,50000,100000,,80,0,80,0,80,kg N ha‑1,4,4,4,4,Table 3 (density effects),,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,direct_llm,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982,120 days,Randomized Complete Block Design (RCBD),19 December 1982,19 December 1982,120 days after sowing,120 days after sowing,,-32.85,115.92,Australia,Maize (Zea mays),Cowpea (Vigna unguiculata),cereal,legume,0,0,Row,35000,140000,50000,100000,,80,0,80,0,80,kg N ha‑1,4,4,4,4,Table 3 (density effects),,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,direct_llm,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982,120 days,Randomized Complete Block Design (RCBD),19 December 1982,19 December 1982,120 days after sowing,120 days after sowing,,-32.85,115.92,Australia,Maize (Zea mays),Cowpea (Vigna unguiculata),cereal,legume,0,0,Row,50000,70000,50000,100000,,80,0,80,0,80,kg N ha‑1,4,4,4,4,Table 3 (density effects),,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,direct_llm,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982,120 days,Randomized Complete Block Design (RCBD),19 December 1982,19 December 1982,120 days after sowing,120 days after sowing,,-32.85,115.92,Australia,Maize (Zea mays),Cowpea (Vigna unguiculata),cereal,legume,0,0,Row,50000,140000,50000,100000,,80,0,80,0,80,kg N ha‑1,4,4,4,4,Table 3 (density effects),,,,,,,,
