paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982-1983,120 days,Randomized complete block design,19 Dec 1982,,,,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,,,50,,,8,,,,,kg N ha-1,4,,,,Table 1 (sole‑crop maize component),,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982-1983,120 days,Randomized complete block design,,19 Dec 1982,,,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,,,,100,,,0,,,,kg N ha-1,,4,,,Table 1 (sole‑crop cowpea component),,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982-1983,120 days,Randomized complete block design,28 Nov 1982,19 Dec 1982,,,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,50,100,50,100,,8,0,8,0,8,kg N ha-1,4,4,4,4,Table 1 (intercrop – maize sown 21 d before cowpea),,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982-1983,120 days,Randomized complete block design,9 Dec 1982,19 Dec 1982,,,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,50,100,50,100,,8,0,8,0,8,kg N ha-1,4,4,4,4,Table 1 (intercrop – maize sown 10 d before cowpea),,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982-1983,120 days,Randomized complete block design,19 Dec 1982,19 Dec 1982,,,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,50,100,50,100,,8,0,8,0,8,kg N ha-1,4,4,4,4,Table 1 (intercrop – simultaneous sowing),,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982-1983,120 days,Randomized complete block design,29 Dec 1982,19 Dec 1982,,,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,50,100,50,100,,8,0,8,0,8,kg N ha-1,4,4,4,4,Table 3 (M1‑C1 density combination),,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982-1983,120 days,Randomized complete block design,19 Dec 1982,19 Dec 1982,,,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,35,100,50,100,,8,0,8,0,8,kg N ha-1,4,4,4,4,Table 3 (M1‑C2 density combination),,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982-1983,120 days,Randomized complete block design,19 Dec 1982,19 Dec 1982,,,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,35,140,50,100,,8,0,8,0,8,kg N ha-1,4,4,4,4,Table 3 (M1‑C3 density combination),,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982-1983,120 days,Randomized complete block design,19 Dec 1982,19 Dec 1982,,,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,50,70,50,100,,8,0,8,0,8,kg N ha-1,4,4,4,4,Table 3 (M2‑C1 density combination),,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982-1983,120 days,Randomized complete block design,19 Dec 1982,19 Dec 1982,,,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,50,100,50,100,,8,0,8,0,8,kg N ha-1,4,4,4,4,Table 3 (M2‑C2 density combination),,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982-1983,120 days,Randomized complete block design,19 Dec 1982,19 Dec 1982,,,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,70,70,50,100,,8,0,8,0,8,kg N ha-1,4,4,4,4,Table 3 (M3‑C1 density combination),,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982-1983,120 days,Randomized complete block design,19 Dec 1982,19 Dec 1982,,,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,70,100,50,100,,8,0,8,0,8,kg N ha-1,4,4,4,4,Table 3 (M3‑C2 density combination),,,,,,,,
049_Ofori_et_al_1987_Relative_sowing_time_and_density_,49,49,mas,Ofori et al 1987 Relative sowing time and density of component crops in a maize cowpea intercrop system,1982-1983,120 days,Randomized complete block design,19 Dec 1982,19 Dec 1982,,,,-32.85,115.92,Australia,Maize,Cowpea,cereal,legume,0,0,Row,70,140,50,100,,8,0,8,0,8,kg N ha-1,4,4,4,4,Table 3 (M3‑C3 density combination),,,,,,,,
