paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
050_Ofori_et_al_1987_The_combined_effects_of_nitrogen_,50,50,mas,Ofori et al 1987 The combined effects of nitrogen fertilizer and density of the legume component on,1984,125 days,RCBD,2 Dec 1983,2 Dec 1983,125 days after sowing,125 days after sowing,,-32.85,115.9167,Australia,Maize,Cowpea,cereal,legume,0,0,Row,,,53333,,,0,,,,,kg N ha-1,3,,,,Table 1,,,,,,,,
050_Ofori_et_al_1987_The_combined_effects_of_nitrogen_,50,50,mas,Ofori et al 1987 The combined effects of nitrogen fertilizer and density of the legume component on,1984,125 days,RCBD,2 Dec 1983,2 Dec 1983,125 days after sowing,125 days after sowing,,-32.85,115.9167,Australia,Maize,Cowpea,cereal,legume,0,0,Row,,,53333,,,30,,,,,kg N ha-1,3,,,,Table 1,,,,,,,,
050_Ofori_et_al_1987_The_combined_effects_of_nitrogen_,50,50,mas,Ofori et al 1987 The combined effects of nitrogen fertilizer and density of the legume component on,1984,125 days,RCBD,2 Dec 1983,2 Dec 1983,125 days after sowing,125 days after sowing,,-32.85,115.9167,Australia,Maize,Cowpea,cereal,legume,0,0,Row,,,53333,,,60,,,,,kg N ha-1,3,,,,Table 1,,,,,,,,
050_Ofori_et_al_1987_The_combined_effects_of_nitrogen_,50,50,mas,Ofori et al 1987 The combined effects of nitrogen fertilizer and density of the legume component on,1984,125 days,RCBD,2 Dec 1983,2 Dec 1983,125 days after sowing,125 days after sowing,,-32.85,115.9167,Australia,Maize,Cowpea,cereal,legume,0,0,Row,,,53333,,,120,,,,,kg N ha-1,3,,,,Table 1,,,,,,,,
050_Ofori_et_al_1987_The_combined_effects_of_nitrogen_,50,50,mas,Ofori et al 1987 The combined effects of nitrogen fertilizer and density of the legume component on,1984,125 days,RCBD,2 Dec 1983,2 Dec 1983,125 days after sowing,125 days after sowing,,-32.85,115.9167,Australia,Maize,Cowpea,cereal,legume,0,0,Row,53000,100000,,,,,,0,0,0,kg N ha-1,,,3,3,Table 1,,,,,,,,
050_Ofori_et_al_1987_The_combined_effects_of_nitrogen_,50,50,mas,Ofori et al 1987 The combined effects of nitrogen fertilizer and density of the legume component on,1984,125 days,RCBD,2 Dec 1983,2 Dec 1983,125 days after sowing,125 days after sowing,,-32.85,115.9167,Australia,Maize,Cowpea,cereal,legume,0,0,Row,53000,150000,,,,,,0,0,0,kg N ha-1,,,3,3,Table 1,,,,,,,,
050_Ofori_et_al_1987_The_combined_effects_of_nitrogen_,50,50,mas,Ofori et al 1987 The combined effects of nitrogen fertilizer and density of the legume component on,1984,125 days,RCBD,2 Dec 1983,2 Dec 1983,125 days after sowing,125 days after sowing,,-32.85,115.9167,Australia,Maize,Cowpea,cereal,legume,0,0,Row,53000,100000,,,,,,30,0,30,kg N ha-1,,,3,3,Table 1,,,,,,,,
050_Ofori_et_al_1987_The_combined_effects_of_nitrogen_,50,50,mas,Ofori et al 1987 The combined effects of nitrogen fertilizer and density of the legume component on,1984,125 days,RCBD,2 Dec 1983,2 Dec 1983,125 days after sowing,125 days after sowing,,-32.85,115.9167,Australia,Maize,Cowpea,cereal,legume,0,0,Row,53000,150000,,,,,,30,0,30,kg N ha-1,,,3,3,Table 1,,,,,,,,
050_Ofori_et_al_1987_The_combined_effects_of_nitrogen_,50,50,mas,Ofori et al 1987 The combined effects of nitrogen fertilizer and density of the legume component on,1984,125 days,RCBD,2 Dec 1983,2 Dec 1983,125 days after sowing,125 days after sowing,,-32.85,115.9167,Australia,Maize,Cowpea,cereal,legume,0,0,Row,53000,100000,,,,,,30,0,30,kg N ha-1,,,3,3,Table 2,,,,,,,,
050_Ofori_et_al_1987_The_combined_effects_of_nitrogen_,50,50,mas,Ofori et al 1987 The combined effects of nitrogen fertilizer and density of the legume component on,1984,125 days,RCBD,2 Dec 1983,2 Dec 1983,125 days after sowing,125 days after sowing,,-32.85,115.9167,Australia,Maize,Cowpea,cereal,legume,0,0,Row,53000,100000,,,,,,0,0,0,kg N ha-1,,,3,3,Table 2,,,,,,,,
050_Ofori_et_al_1987_The_combined_effects_of_nitrogen_,50,50,mas,Ofori et al 1987 The combined effects of nitrogen fertilizer and density of the legume component on,1984,125 days,RCBD,2 Dec 1983,2 Dec 1983,125 days after sowing,125 days after sowing,,-32.85,115.9167,Australia,Maize,Cowpea,cereal,legume,0,0,Row,53000,150000,,,,,,0,0,0,kg N ha-1,,,3,3,Table 2,,,,,,,,
050_Ofori_et_al_1987_The_combined_effects_of_nitrogen_,50,50,mas,Ofori et al 1987 The combined effects of nitrogen fertilizer and density of the legume component on,1984,125 days,RCBD,2 Dec 1983,2 Dec 1983,125 days after sowing,125 days after sowing,,-32.85,115.9167,Australia,Maize,Cowpea,cereal,legume,0,0,Row,,,,100000,,,0,,,,kg N ha-1,,3,,,Table 2,,,,,,,,
050_Ofori_et_al_1987_The_combined_effects_of_nitrogen_,50,50,mas,Ofori et al 1987 The combined effects of nitrogen fertilizer and density of the legume component on,1984,125 days,RCBD,2 Dec 1983,2 Dec 1983,125 days after sowing,125 days after sowing,,-32.85,115.9167,Australia,Maize,Cowpea,cereal,legume,0,0,Row,53000,100000,,,,,,30,0,30,kg N ha-1,,,3,3,Table 2,,,,,,,,
050_Ofori_et_al_1987_The_combined_effects_of_nitrogen_,50,50,mas,Ofori et al 1987 The combined effects of nitrogen fertilizer and density of the legume component on,1984,125 days,RCBD,2 Dec 1983,2 Dec 1983,125 days after sowing,125 days after sowing,,-32.85,115.9167,Australia,Maize,Cowpea,cereal,legume,0,0,Row,53000,100000,,,,,,60,0,60,kg N ha-1,,,3,3,Table 2,,,,,,,,
050_Ofori_et_al_1987_The_combined_effects_of_nitrogen_,50,50,mas,Ofori et al 1987 The combined effects of nitrogen fertilizer and density of the legume component on,1984,125 days,RCBD,2 Dec 1983,2 Dec 1983,125 days after sowing,125 days after sowing,,-32.85,115.9167,Australia,Maize,Cowpea,cereal,legume,0,0,Row,53000,150000,,,,,,60,0,60,kg N ha-1,,,3,3,Table 2,,,,,,,,
050_Ofori_et_al_1987_The_combined_effects_of_nitrogen_,50,50,mas,Ofori et al 1987 The combined effects of nitrogen fertilizer and density of the legume component on,1984,125 days,RCBD,2 Dec 1983,2 Dec 1983,125 days after sowing,125 days after sowing,,-32.85,115.9167,Australia,Maize,Cowpea,cereal,legume,0,0,Row,53000,100000,,,,,,120,0,120,kg N ha-1,,,3,3,Table 2,,,,,,,,
