paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,mas,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1985,,Randomised block design,27 June 1985,,,,,18,78,Asia,pearl millet,groundnut,cereal,legume,0,0,Row,,,,,,96,16,20,,36,kg N ha−1,3,3,3,3,Table 4,6 10,,,,t/ha,,,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,mas,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1985,,Randomised block design,27 June 1985,,,,,18,78,Asia,pearl millet,groundnut,cereal,legume,0,0,Row,,,,,,96,16,20,,36,kg N ha−1,3,3,3,3,Table 4,,2 80,,,t/ha,,,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,mas,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1985,,Randomised block design,27 June 1985,,,,,18,78,Asia,pearl millet,groundnut,cereal,legume,0,0,Row,,,,,,96,16,20,,36,kg N ha−1,3,3,3,3,Table 4,,4 05,,,t/ha,,,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,mas,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1985,,Randomised block design,27 June 1985,,,,,18,78,Asia,pearl millet,groundnut,cereal,legume,0,0,Row,,,,,,96,16,20,,36,kg N ha−1,3,3,3,3,Table 4,,,3 00,2 8,t/ha,0 85,0 82,1 34
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,mas,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1985,,Randomised block design,27 June 1985,,,,,18,78,Asia,pearl millet,groundnut,cereal,legume,0,0,Row,,,,,,96,16,20,,36,kg N ha−1,3,3,3,3,Table 4,,,3 20,3 6,t/ha,0 92,1 36,1 42
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,mas,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1986,,Randomised block design,8 July 1986,,,,,18,78,Asia,pearl millet,groundnut,cereal,legume,0,0,Row,,,,,,96,16,20,,36,kg N ha−1,3,3,3,3,Table 4,4 72,,,,t/ha,,,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,mas,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1986,,Randomised block design,8 July 1986,,,,,18,78,Asia,pearl millet,groundnut,cereal,legume,0,0,Row,,,,,,96,16,20,,36,kg N ha−1,3,3,3,3,Table 4,,2 10,,,t/ha,,,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,mas,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1986,,Randomised block design,8 July 1986,,,,,18,78,Asia,pearl millet,groundnut,cereal,legume,0,0,Row,,,,,,96,16,20,,36,kg N ha−1,3,3,3,3,Table 4,,2 51,,,t/ha,,,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,mas,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1986,,Randomised block design,8 July 1986,,,,,18,78,Asia,pearl millet,groundnut,cereal,legume,0,0,Row,,,,,,96,16,20,,36,kg N ha−1,3,3,3,3,Table 4,,,2 27,1 65,t/ha,1 04,0 05,1 26
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,mas,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1986,,Randomised block design,8 July 1986,,,,,18,78,Asia,pearl millet,groundnut,cereal,legume,0,0,Row,,,,,,96,16,20,,36,kg N ha−1,3,3,3,3,Table 4,,,1 76,2 06,t/ha,0 80,0 20,1 19
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,mas,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1987,,Randomised block design,1 July 1987,,,,,18,78,Asia,pearl millet,groundnut,cereal,legume,0,0,Row,,,,,,96,16,20,,36,kg N ha−1,3,3,3,3,Table 4,6 47,,,,t/ha,,,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,mas,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1987,,Randomised block design,1 July 1987,,,,,18,78,Asia,pearl millet,groundnut,cereal,legume,0,0,Row,,,,,,96,16,20,,36,kg N ha−1,3,3,3,3,Table 4,,3 60,,,t/ha,,,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,mas,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1987,,Randomised block design,1 July 1987,,,,,18,78,Asia,pearl millet,groundnut,cereal,legume,0,0,Row,,,,,,96,16,20,,36,kg N ha−1,3,3,3,3,Table 4,,5 55,,,t/ha,,,
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,mas,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1987,,Randomised block design,1 July 1987,,,,,18,78,Asia,pearl millet,groundnut,cereal,legume,0,0,Row,,,,,,96,16,20,,36,kg N ha−1,3,3,3,3,Table 4,,,2 29,2 63,t/ha,0 87,1 25,1 08
052_Ong_et_al_1991The_microclimate_and_productivity_of,52,52,mas,3. Ong et al 1991The microclimate and productivity of a groudnut-millet intercrop during the rainy searson,1987,,Randomised block design,1 July 1987,,,,,18,78,Asia,pearl millet,groundnut,cereal,legume,0,0,Row,,,,,,96,16,20,,36,kg N ha−1,3,3,3,3,Table 4,,,2 35,3 64,t/ha,0 81,1 60,1 02
