paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
053_Vyas_2006_Productivity_and_economics_of_integrated,53,53,direct_llm,4. Vyas 2006 Productivity and economics of integrated nutrient management in soybean (Glycine max) plus pigeonpea,2002,,Randomized Complete Block Design (RCBD),,,,,,,,Asia,Soybean (Glycine max),Pigeonpea (Cajanus cajan),legume,legume,0,0,Row,,,,,,,,20,20,40,kg N ha−1,,,3,3,Table 1,,,1285,1424,kg/ha,,,1.4
053_Vyas_2006_Productivity_and_economics_of_integrated,53,53,direct_llm,4. Vyas 2006 Productivity and economics of integrated nutrient management in soybean (Glycine max) plus pigeonpea,2003,,Randomized Complete Block Design (RCBD),,,,,,,,Asia,Soybean (Glycine max),Pigeonpea (Cajanus cajan),legume,legume,0,0,Row,,,,,,,,20,20,40,kg N ha−1,,,3,3,Table 1,,,2434,1991,kg/ha,,,1.4
053_Vyas_2006_Productivity_and_economics_of_integrated,53,53,direct_llm,4. Vyas 2006 Productivity and economics of integrated nutrient management in soybean (Glycine max) plus pigeonpea,2002,,Randomized Complete Block Design (RCBD),,,,,,,,Asia,Soybean (Glycine max),Pigeonpea (Cajanus cajan),legume,legume,0,0,Row,,,,,,,,15,15,30,kg N ha−1,,,3,3,Table 1,,,975,1416,kg/ha,,,1.31
053_Vyas_2006_Productivity_and_economics_of_integrated,53,53,direct_llm,4. Vyas 2006 Productivity and economics of integrated nutrient management in soybean (Glycine max) plus pigeonpea,2003,,Randomized Complete Block Design (RCBD),,,,,,,,Asia,Soybean (Glycine max),Pigeonpea (Cajanus cajan),legume,legume,0,0,Row,,,,,,,,15,15,30,kg N ha−1,,,3,3,Table 1,,,2338,1981,kg/ha,,,1.31
053_Vyas_2006_Productivity_and_economics_of_integrated,53,53,direct_llm,4. Vyas 2006 Productivity and economics of integrated nutrient management in soybean (Glycine max) plus pigeonpea,2002,,Randomized Complete Block Design (RCBD),,,,,,,,Asia,Soybean (Glycine max),Pigeonpea (Cajanus cajan),legume,legume,0,0,Row,,,,,,,,10,10,20,kg N ha−1,,,3,3,Table 1,,,881,1340,kg/ha,,,1.17
053_Vyas_2006_Productivity_and_economics_of_integrated,53,53,direct_llm,4. Vyas 2006 Productivity and economics of integrated nutrient management in soybean (Glycine max) plus pigeonpea,2003,,Randomized Complete Block Design (RCBD),,,,,,,,Asia,Soybean (Glycine max),Pigeonpea (Cajanus cajan),legume,legume,0,0,Row,,,,,,,,10,10,20,kg N ha−1,,,3,3,Table 1,,,2124,1602,kg/ha,,,1.17
053_Vyas_2006_Productivity_and_economics_of_integrated,53,53,direct_llm,4. Vyas 2006 Productivity and economics of integrated nutrient management in soybean (Glycine max) plus pigeonpea,2002,,Randomized Complete Block Design (RCBD),,,,,,,,Asia,Soybean (Glycine max),Pigeonpea (Cajanus cajan),legume,legume,0,0,Row,,,,,,,,,,,kg N ha−1,,,3,3,Table 1,,,1072,1366,kg/ha,,,1.27
053_Vyas_2006_Productivity_and_economics_of_integrated,53,53,direct_llm,4. Vyas 2006 Productivity and economics of integrated nutrient management in soybean (Glycine max) plus pigeonpea,2003,,Randomized Complete Block Design (RCBD),,,,,,,,Asia,Soybean (Glycine max),Pigeonpea (Cajanus cajan),legume,legume,0,0,Row,,,,,,,,,,,kg N ha−1,,,3,3,Table 1,,,2283,1731,kg/ha,,,1.27
053_Vyas_2006_Productivity_and_economics_of_integrated,53,53,direct_llm,4. Vyas 2006 Productivity and economics of integrated nutrient management in soybean (Glycine max) plus pigeonpea,2002,,Randomized Complete Block Design (RCBD),,,,,,,,Asia,Soybean (Glycine max),Pigeonpea (Cajanus cajan),legume,legume,0,0,Row,,,,,,,,20,20,40,kg N ha−1,,,3,3,Table 1,,,1295,1407,kg/ha,,,1.39
053_Vyas_2006_Productivity_and_economics_of_integrated,53,53,direct_llm,4. Vyas 2006 Productivity and economics of integrated nutrient management in soybean (Glycine max) plus pigeonpea,2003,,Randomized Complete Block Design (RCBD),,,,,,,,Asia,Soybean (Glycine max),Pigeonpea (Cajanus cajan),legume,legume,0,0,Row,,,,,,,,20,20,40,kg N ha−1,,,3,3,Table 1,,,2451,1884,kg/ha,,,1.39
