paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
054_Morgado_2008_Optimum_plant_population_for_maize_be,54,54,direct_llm,5. Morgado 2008 Optimum plant population for maize-bean intercropping system in the Brazilian semi-arid region,1990,,Randomized Complete Block Design (RCBD),,,,,,-9.15,-40.37,South America,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,20000,30000,,,,,,0,0,0,kg ha-1,,,3,3,"Table 3 (maize grain yield), Table 5 (bean grain yield)",,,3175,104,kg ha-1,,,
054_Morgado_2008_Optimum_plant_population_for_maize_be,54,54,direct_llm,5. Morgado 2008 Optimum plant population for maize-bean intercropping system in the Brazilian semi-arid region,1990,,Randomized Complete Block Design (RCBD),,,,,,-9.15,-40.37,South America,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,20000,30000,,,,,,30,0,30,kg ha-1,,,3,3,"Table 3 (maize grain yield), Table 5 (bean grain yield)",,,2951,104,kg ha-1,,,
054_Morgado_2008_Optimum_plant_population_for_maize_be,54,54,direct_llm,5. Morgado 2008 Optimum plant population for maize-bean intercropping system in the Brazilian semi-arid region,1990,,Randomized Complete Block Design (RCBD),,,,,,-9.15,-40.37,South America,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,40000,30000,,,,,,0,0,0,kg ha-1,,,3,3,"Table 3 (maize grain yield), Table 5 (bean grain yield)",,,4603,64,kg ha-1,,,
054_Morgado_2008_Optimum_plant_population_for_maize_be,54,54,direct_llm,5. Morgado 2008 Optimum plant population for maize-bean intercropping system in the Brazilian semi-arid region,1990,,Randomized Complete Block Design (RCBD),,,,,,-9.15,-40.37,South America,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,40000,30000,,,,,,30,0,30,kg ha-1,,,3,3,"Table 3 (maize grain yield), Table 5 (bean grain yield)",,,5512,50,kg ha-1,,,
054_Morgado_2008_Optimum_plant_population_for_maize_be,54,54,direct_llm,5. Morgado 2008 Optimum plant population for maize-bean intercropping system in the Brazilian semi-arid region,1990,,Randomized Complete Block Design (RCBD),,,,,,-9.15,-40.37,South America,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,20000,60000,,,,,,0,0,0,kg ha-1,,,3,3,"Table 3 (maize grain yield), Table 5 (bean grain yield)",,,3781,169,kg ha-1,,,
054_Morgado_2008_Optimum_plant_population_for_maize_be,54,54,direct_llm,5. Morgado 2008 Optimum plant population for maize-bean intercropping system in the Brazilian semi-arid region,1990,,Randomized Complete Block Design (RCBD),,,,,,-9.15,-40.37,South America,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,20000,60000,,,,,,30,0,30,kg ha-1,,,3,3,"Table 3 (maize grain yield), Table 5 (bean grain yield)",,,3557,261,kg ha-1,,,
054_Morgado_2008_Optimum_plant_population_for_maize_be,54,54,direct_llm,5. Morgado 2008 Optimum plant population for maize-bean intercropping system in the Brazilian semi-arid region,1990,,Randomized Complete Block Design (RCBD),,,,,,-9.15,-40.37,South America,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,40000,60000,,,,,,0,0,0,kg ha-1,,,3,3,"Table 3 (maize grain yield), Table 5 (bean grain yield)",,,4593,89,kg ha-1,,,
054_Morgado_2008_Optimum_plant_population_for_maize_be,54,54,direct_llm,5. Morgado 2008 Optimum plant population for maize-bean intercropping system in the Brazilian semi-arid region,1990,,Randomized Complete Block Design (RCBD),,,,,,-9.15,-40.37,South America,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,40000,60000,,,,,,30,0,30,kg ha-1,,,3,3,"Table 3 (maize grain yield), Table 5 (bean grain yield)",,,6195,128,kg ha-1,,,
054_Morgado_2008_Optimum_plant_population_for_maize_be,54,54,direct_llm,5. Morgado 2008 Optimum plant population for maize-bean intercropping system in the Brazilian semi-arid region,1990,,Randomized Complete Block Design (RCBD),,,,,,-9.15,-40.37,South America,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,20000,90000,,,,,,0,0,0,kg ha-1,,,3,3,"Table 3 (maize grain yield), Table 5 (bean grain yield)",,,3181,131,kg ha-1,,,
054_Morgado_2008_Optimum_plant_population_for_maize_be,54,54,direct_llm,5. Morgado 2008 Optimum plant population for maize-bean intercropping system in the Brazilian semi-arid region,1990,,Randomized Complete Block Design (RCBD),,,,,,-9.15,-40.37,South America,Zea mays,Phaseolus vulgaris,cereal,legume,0,0,Row,20000,90000,,,,,,30,0,30,kg ha-1,,,3,3,"Table 3 (maize grain yield), Table 5 (bean grain yield)",,,3408,272,kg ha-1,,,
