paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
055_Reddy_et_al_1990_Genotype_effects_in_millet_cowpea,55,55,direct_llm,8. Reddy et al 1990 Genotype effects in millet cowpea intercropping,1984,,Randomized Complete Block Design (RCBD),30 June 1984,30 June 1984,,,,13.4667,7.0833,Africa,Pearl millet,Cowpea,cereal,legume,0,0,Row,,,,,,45,0,45,0,45,kg N ha-1,4,4,4,4,Table 4,540,,360,80,kg ha-1,,,
055_Reddy_et_al_1990_Genotype_effects_in_millet_cowpea,55,55,direct_llm,8. Reddy et al 1990 Genotype effects in millet cowpea intercropping,1984,,Randomized Complete Block Design (RCBD),30 June 1984,30 June 1984,,,,13.4667,7.0833,Africa,Pearl millet,Cowpea,cereal,legume,0,0,Row,,,,,,45,0,45,0,45,kg N ha-1,4,4,4,4,Table 4,690,,460,110,kg ha-1,,,
055_Reddy_et_al_1990_Genotype_effects_in_millet_cowpea,55,55,direct_llm,8. Reddy et al 1990 Genotype effects in millet cowpea intercropping,1984,,Randomized Complete Block Design (RCBD),30 June 1984,30 June 1984,,,,13.4667,7.0833,Africa,Pearl millet,Cowpea,cereal,legume,0,0,Row,,,,,,45,0,45,0,45,kg N ha-1,4,4,4,4,Table 4,700,,440,150,kg ha-1,,,
055_Reddy_et_al_1990_Genotype_effects_in_millet_cowpea,55,55,direct_llm,8. Reddy et al 1990 Genotype effects in millet cowpea intercropping,1984,,Randomized Complete Block Design (RCBD),30 June 1984,30 June 1984,,,,13.4667,7.0833,Africa,Pearl millet,Cowpea,cereal,legume,0,0,Row,,,,,,45,0,45,0,45,kg N ha-1,4,4,4,4,Table 4,147,,147,12,kg ha-1,,,
055_Reddy_et_al_1990_Genotype_effects_in_millet_cowpea,55,55,direct_llm,8. Reddy et al 1990 Genotype effects in millet cowpea intercropping,1985,,Randomized Complete Block Design (RCBD),18 June 1985,18 June 1985,,,,13.4667,7.0833,Africa,Pearl millet,Cowpea,cereal,legume,0,0,Row,,,,,,45,0,45,0,45,kg N ha-1,4,4,4,4,Table 4,510,,690,170,kg ha-1,,,
055_Reddy_et_al_1990_Genotype_effects_in_millet_cowpea,55,55,direct_llm,8. Reddy et al 1990 Genotype effects in millet cowpea intercropping,1985,,Randomized Complete Block Design (RCBD),18 June 1985,18 June 1985,,,,13.4667,7.0833,Africa,Pearl millet,Cowpea,cereal,legume,0,0,Row,,,,,,45,0,45,0,45,kg N ha-1,4,4,4,4,Table 4,1600,,1070,160,kg ha-1,,,
055_Reddy_et_al_1990_Genotype_effects_in_millet_cowpea,55,55,direct_llm,8. Reddy et al 1990 Genotype effects in millet cowpea intercropping,1985,,Randomized Complete Block Design (RCBD),18 June 1985,18 June 1985,,,,13.4667,7.0833,Africa,Pearl millet,Cowpea,cereal,legume,0,0,Row,,,,,,45,0,45,0,45,kg N ha-1,4,4,4,4,Table 4,1350,,990,260,kg ha-1,,,
055_Reddy_et_al_1990_Genotype_effects_in_millet_cowpea,55,55,direct_llm,8. Reddy et al 1990 Genotype effects in millet cowpea intercropping,1985,,Randomized Complete Block Design (RCBD),18 June 1985,18 June 1985,,,,13.4667,7.0833,Africa,Pearl millet,Cowpea,cereal,legume,0,0,Row,,,,,,45,0,45,0,45,kg N ha-1,4,4,4,4,Table 4,103,,103,23,kg ha-1,,,
055_Reddy_et_al_1990_Genotype_effects_in_millet_cowpea,55,55,direct_llm,8. Reddy et al 1990 Genotype effects in millet cowpea intercropping,1985,,Completely Randomized Block Design,2 July 1985,14 July 1985,,,,13.25,2.3,Africa,Pearl millet,Cowpea,cereal,legume,0,0,Row,30000,66666,30000,66666,,45,0,45,0,45,kg N ha-1,4,4,4,4,Table 5 (1985 Kolo),530,,,980,kg ha-1,,,
055_Reddy_et_al_1990_Genotype_effects_in_millet_cowpea,55,55,direct_llm,8. Reddy et al 1990 Genotype effects in millet cowpea intercropping,1985,,Completely Randomized Block Design,18 June 1985,30 June 1985,,,,13.4667,7.0833,Africa,Pearl millet,Cowpea,cereal,legume,0,0,Row,30000,66666,30000,66666,,45,0,45,0,45,kg N ha-1,4,4,4,4,Table 5 (1985 Tarna),360,,,410,kg ha-1,,,
