paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
056_Behera_et_al_2002_Biological_and_economical_feasib,56,56,direct_llm,11. Behera et al 2002 Biological and economical feasibility of intercroppign vegetables,1998,,Randomized Complete Block Design (RCBD),,,,,,20.4667,84.2333,Asia,Oryza sativa,Hibiscus esculentus,cereal,vegetable,0,0,Row,,,,,,,,,,,,3,3,3,3,"Table 1, Table 2",,,9.77,35.43,q/ha,,,1.11
056_Behera_et_al_2002_Biological_and_economical_feasib,56,56,direct_llm,11. Behera et al 2002 Biological and economical feasibility of intercroppign vegetables,1999,,Randomized Complete Block Design (RCBD),,,,,,20.4667,84.2333,Asia,Oryza sativa,Hibiscus esculentus,cereal,vegetable,0,0,Row,,,,,,,,,,,,3,3,3,3,"Table 1, Table 2",,,21.91,28.95,q/ha,,,1.1
056_Behera_et_al_2002_Biological_and_economical_feasib,56,56,direct_llm,11. Behera et al 2002 Biological and economical feasibility of intercroppign vegetables,2000,,Randomized Complete Block Design (RCBD),,,,,,20.4667,84.2333,Asia,Oryza sativa,Hibiscus esculentus,cereal,vegetable,0,0,Row,,,,,,,,,,,,3,3,3,3,"Table 1, Table 2",,,20.27,47.5,q/ha,,,1.41
056_Behera_et_al_2002_Biological_and_economical_feasib,56,56,direct_llm,11. Behera et al 2002 Biological and economical feasibility of intercroppign vegetables,1998,,Randomized Complete Block Design (RCBD),,,,,,20.4667,84.2333,Asia,Oryza sativa,Hibiscus esculentus,cereal,vegetable,0,0,Row,,,,,,,,,,,,3,3,3,3,"Table 1, Table 2",,,9.73,34.99,q/ha,,,1.1
056_Behera_et_al_2002_Biological_and_economical_feasib,56,56,direct_llm,11. Behera et al 2002 Biological and economical feasibility of intercroppign vegetables,1999,,Randomized Complete Block Design (RCBD),,,,,,20.4667,84.2333,Asia,Oryza sativa,Hibiscus esculentus,cereal,vegetable,0,0,Row,,,,,,,,,,,,3,3,3,3,"Table 1, Table 2",,,25.92,39.41,q/ha,,,1.38
056_Behera_et_al_2002_Biological_and_economical_feasib,56,56,direct_llm,11. Behera et al 2002 Biological and economical feasibility of intercroppign vegetables,2000,,Randomized Complete Block Design (RCBD),,,,,,20.4667,84.2333,Asia,Oryza sativa,Hibiscus esculentus,cereal,vegetable,0,0,Row,,,,,,,,,,,,3,3,3,3,"Table 1, Table 2",,,22.57,49.1,q/ha,,,1.51
056_Behera_et_al_2002_Biological_and_economical_feasib,56,56,direct_llm,11. Behera et al 2002 Biological and economical feasibility of intercroppign vegetables,1998,,Randomized Complete Block Design (RCBD),,,,,,20.4667,84.2333,Asia,Oryza sativa,Hibiscus esculentus,cereal,vegetable,0,0,Row,,,,,,,,,,,,3,3,3,3,"Table 1, Table 2",,,9.05,32.61,q/ha,,,1.03
056_Behera_et_al_2002_Biological_and_economical_feasib,56,56,direct_llm,11. Behera et al 2002 Biological and economical feasibility of intercroppign vegetables,1999,,Randomized Complete Block Design (RCBD),,,,,,20.4667,84.2333,Asia,Oryza sativa,Hibiscus esculentus,cereal,vegetable,0,0,Row,,,,,,,,,,,,3,3,3,3,"Table 1, Table 2",,,21.02,28.63,q/ha,,,1.07
056_Behera_et_al_2002_Biological_and_economical_feasib,56,56,direct_llm,11. Behera et al 2002 Biological and economical feasibility of intercroppign vegetables,2000,,Randomized Complete Block Design (RCBD),,,,,,20.4667,84.2333,Asia,Oryza sativa,Hibiscus esculentus,cereal,vegetable,0,0,Row,,,,,,,,,,,,3,3,3,3,"Table 1, Table 2",,,15.97,42.9,q/ha,,,1.2
056_Behera_et_al_2002_Biological_and_economical_feasib,56,56,direct_llm,11. Behera et al 2002 Biological and economical feasibility of intercroppign vegetables,1998,,Randomized Complete Block Design (RCBD),,,,,,20.4667,84.2333,Asia,Oryza sativa,Hibiscus esculentus,cereal,vegetable,0,0,Row,,,,,,,,,,,,3,3,3,3,"Table 1, Table 2",,,9.86,38.09,q/ha,,,1.16
