paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
059_Tomar_et_al_1987_Effect_of_planting_patterns_in_pi,59,59,direct_llm,14. Tomar et al 1987 Effect of planting patterns in pigeonpea and soybean intercropping system,1981-82,,Randomized block design,,,first half of February,first half of October,,,,,Pigeonpea,Soybean,legume,legume,0,0,,,,,,,20,20,,,,kg N ha−1,4,4,,,Table 1,23.85,,,,q/ha,,,
059_Tomar_et_al_1987_Effect_of_planting_patterns_in_pi,59,59,direct_llm,14. Tomar et al 1987 Effect of planting patterns in pigeonpea and soybean intercropping system,1982-83,,Randomized block design,,,first half of February,first half of October,,,,,Pigeonpea,Soybean,legume,legume,0,0,,,,,,,20,20,,,,kg N ha−1,4,4,,,Table 1,18.93,,,,q/ha,,,
059_Tomar_et_al_1987_Effect_of_planting_patterns_in_pi,59,59,direct_llm,14. Tomar et al 1987 Effect of planting patterns in pigeonpea and soybean intercropping system,1983-84,,Randomized block design,,,first half of February,first half of October,,,,,Pigeonpea,Soybean,legume,legume,0,0,,,,,,,20,20,,,,kg N ha−1,4,4,,,Table 1,21.95,,,,q/ha,,,
059_Tomar_et_al_1987_Effect_of_planting_patterns_in_pi,59,59,direct_llm,14. Tomar et al 1987 Effect of planting patterns in pigeonpea and soybean intercropping system,1981-82,,Randomized block design,,,first half of February,first half of October,,,,,Pigeonpea,Soybean,legume,legume,0,0,,,,,,,20,20,,,,kg N ha−1,4,4,,,Table 1,23.72,,,,q/ha,,,
059_Tomar_et_al_1987_Effect_of_planting_patterns_in_pi,59,59,direct_llm,14. Tomar et al 1987 Effect of planting patterns in pigeonpea and soybean intercropping system,1982-83,,Randomized block design,,,first half of February,first half of October,,,,,Pigeonpea,Soybean,legume,legume,0,0,,,,,,,20,20,,,,kg N ha−1,4,4,,,Table 1,16.68,,,,q/ha,,,
059_Tomar_et_al_1987_Effect_of_planting_patterns_in_pi,59,59,direct_llm,14. Tomar et al 1987 Effect of planting patterns in pigeonpea and soybean intercropping system,1983-84,,Randomized block design,,,first half of February,first half of October,,,,,Pigeonpea,Soybean,legume,legume,0,0,,,,,,,20,20,,,,kg N ha−1,4,4,,,Table 1,17.02,,,,q/ha,,,
059_Tomar_et_al_1987_Effect_of_planting_patterns_in_pi,59,59,direct_llm,14. Tomar et al 1987 Effect of planting patterns in pigeonpea and soybean intercropping system,1981-82,,Randomized block design,,,first half of February,first half of October,,,,,Pigeonpea,Soybean,legume,legume,0,0,,,,,,,20,20,,,,kg N ha−1,4,4,,,Table 1,,14.16,,,q/ha,,,
059_Tomar_et_al_1987_Effect_of_planting_patterns_in_pi,59,59,direct_llm,14. Tomar et al 1987 Effect of planting patterns in pigeonpea and soybean intercropping system,1982-83,,Randomized block design,,,first half of February,first half of October,,,,,Pigeonpea,Soybean,legume,legume,0,0,,,,,,,20,20,,,,kg N ha−1,4,4,,,Table 1,,20.21,,,q/ha,,,
059_Tomar_et_al_1987_Effect_of_planting_patterns_in_pi,59,59,direct_llm,14. Tomar et al 1987 Effect of planting patterns in pigeonpea and soybean intercropping system,1983-84,,Randomized block design,,,first half of February,first half of October,,,,,Pigeonpea,Soybean,legume,legume,0,0,,,,,,,20,20,,,,kg N ha−1,4,4,,,Table 1,,19.8,,,q/ha,,,
059_Tomar_et_al_1987_Effect_of_planting_patterns_in_pi,59,59,direct_llm,14. Tomar et al 1987 Effect of planting patterns in pigeonpea and soybean intercropping system,1981-82,,Randomized block design,,,first half of February,first half of October,,,,,Pigeonpea,Soybean,legume,legume,0,0,,,,,,,20,20,,,,kg N ha−1,4,4,,,Table 1,27.49,,,,q/ha,,,
059_Tomar_et_al_1987_Effect_of_planting_patterns_in_pi,59,59,direct_llm,14. Tomar et al 1987 Effect of planting patterns in pigeonpea and soybean intercropping system,1982-83,,Randomized block design,,,first half of February,first half of October,,,,,Pigeonpea,Soybean,legume,legume,0,0,,,,,,,20,20,,,,kg N ha−1,4,4,,,Table 1,16.91,,,,q/ha,,,
059_Tomar_et_al_1987_Effect_of_planting_patterns_in_pi,59,59,direct_llm,14. Tomar et al 1987 Effect of planting patterns in pigeonpea and soybean intercropping system,1983-84,,Randomized block design,,,first half of February,first half of October,,,,,Pigeonpea,Soybean,legume,legume,0,0,,,,,,,20,20,,,,kg N ha−1,4,4,,,Table 1,19.64,,,,q/ha,,,
059_Tomar_et_al_1987_Effect_of_planting_patterns_in_pi,59,59,direct_llm,14. Tomar et al 1987 Effect of planting patterns in pigeonpea and soybean intercropping system,1981-82,,Randomized block design,,,first half of February,first half of October,,,,,Pigeonpea,Soybean,legume,legume,0,0,Row,,,,,,20,20,20,20,20,kg N ha−1,4,4,4,4,Table 1; Table 2,,,22.9,5.04,q/ha,,,1.31
059_Tomar_et_al_1987_Effect_of_planting_patterns_in_pi,59,59,direct_llm,14. Tomar et al 1987 Effect of planting patterns in pigeonpea and soybean intercropping system,1982-83,,Randomized block design,,,first half of February,first half of October,,,,,Pigeonpea,Soybean,legume,legume,0,0,Row,,,,,,20,20,20,20,20,kg N ha−1,4,4,4,4,Table 1; Table 2,,,11.76,15.81,q/ha,,,1.4
