paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
061_Sarkar_et_al_2000_Production_potential_and_economi,61,61,direct_llm,16. Sarkar et al 2000 Production potential and economic feasibility and sasame based intercropping system,1997,,Randomized complete block design (RCBD),3 January 1997,3 January 1997,,,,,,Asia,Sesame,,oilseed,,0,,,,,,,,60,,,,,kg N ha−1,3,,,,Table 1,656,,,,kg/ha,,,
061_Sarkar_et_al_2000_Production_potential_and_economi,61,61,direct_llm,16. Sarkar et al 2000 Production potential and economic feasibility and sasame based intercropping system,1998,,Randomized complete block design (RCBD),5 January 1998,5 January 1998,,,,,,Asia,Sesame,,oilseed,,0,,,,,,,,60,,,,,kg N ha−1,3,,,,Table 1,674,,,,kg/ha,,,
061_Sarkar_et_al_2000_Production_potential_and_economi,61,61,direct_llm,16. Sarkar et al 2000 Production potential and economic feasibility and sasame based intercropping system,1997-1998,,Randomized complete block design (RCBD),,,,,,,,Asia,Sesame,,oilseed,,0,,,,,,,,60,,,,,kg N ha−1,3,,,,Table 1,665,,,,kg/ha,,,
061_Sarkar_et_al_2000_Production_potential_and_economi,61,61,direct_llm,16. Sarkar et al 2000 Production potential and economic feasibility and sasame based intercropping system,1997,,Randomized complete block design (RCBD),3 January 1997,3 January 1997,,,,,,Asia,,Greengram,,legume,,0,,,,,,,,20,,,,kg N ha−1,,3,,,Table 1,,656,,,kg/ha,,,
061_Sarkar_et_al_2000_Production_potential_and_economi,61,61,direct_llm,16. Sarkar et al 2000 Production potential and economic feasibility and sasame based intercropping system,1998,,Randomized complete block design (RCBD),5 January 1998,5 January 1998,,,,,,Asia,,Greengram,,legume,,0,,,,,,,,20,,,,kg N ha−1,,3,,,Table 1,,670,,,kg/ha,,,
061_Sarkar_et_al_2000_Production_potential_and_economi,61,61,direct_llm,16. Sarkar et al 2000 Production potential and economic feasibility and sasame based intercropping system,1997-1998,,Randomized complete block design (RCBD),,,,,,,,Asia,,Greengram,,legume,,0,,,,,,,,20,,,,kg N ha−1,,3,,,Table 1,,663,,,kg/ha,,,
061_Sarkar_et_al_2000_Production_potential_and_economi,61,61,direct_llm,16. Sarkar et al 2000 Production potential and economic feasibility and sasame based intercropping system,1997,,Randomized complete block design (RCBD),3 January 1997,3 January 1997,,,,,,Asia,,Blackgram,,legume,,0,,,,,,,,20,,,,kg N ha−1,,3,,,Table 1,,698,,,kg/ha,,,
061_Sarkar_et_al_2000_Production_potential_and_economi,61,61,direct_llm,16. Sarkar et al 2000 Production potential and economic feasibility and sasame based intercropping system,1998,,Randomized complete block design (RCBD),5 January 1998,5 January 1998,,,,,,Asia,,Blackgram,,legume,,0,,,,,,,,20,,,,kg N ha−1,,3,,,Table 1,,702,,,kg/ha,,,
061_Sarkar_et_al_2000_Production_potential_and_economi,61,61,direct_llm,16. Sarkar et al 2000 Production potential and economic feasibility and sasame based intercropping system,1997-1998,,Randomized complete block design (RCBD),,,,,,,,Asia,,Blackgram,,legume,,0,,,,,,,,20,,,,kg N ha−1,,3,,,Table 1,,700,,,kg/ha,,,
061_Sarkar_et_al_2000_Production_potential_and_economi,61,61,direct_llm,16. Sarkar et al 2000 Production potential and economic feasibility and sasame based intercropping system,1997,,Randomized complete block design (RCBD),3 January 1997,3 January 1997,,,,,,Asia,,Groundnut,,legume,,0,,,,,,,,30,,,,kg N ha−1,,3,,,Table 1,,930,,,kg/ha,,,
061_Sarkar_et_al_2000_Production_potential_and_economi,61,61,direct_llm,16. Sarkar et al 2000 Production potential and economic feasibility and sasame based intercropping system,1998,,Randomized complete block design (RCBD),5 January 1998,5 January 1998,,,,,,Asia,,Groundnut,,legume,,0,,,,,,,,30,,,,kg N ha−1,,3,,,Table 1,,938,,,kg/ha,,,
061_Sarkar_et_al_2000_Production_potential_and_economi,61,61,direct_llm,16. Sarkar et al 2000 Production potential and economic feasibility and sasame based intercropping system,1997-1998,,Randomized complete block design (RCBD),,,,,,,,Asia,,Groundnut,,legume,,0,,,,,,,,30,,,,kg N ha−1,,3,,,Table 1,,934,,,kg/ha,,,
061_Sarkar_et_al_2000_Production_potential_and_economi,61,61,direct_llm,16. Sarkar et al 2000 Production potential and economic feasibility and sasame based intercropping system,1997,,Randomized complete block design (RCBD),3 January 1997,3 January 1997,,,,,,Asia,,Sunflower,,oilseed,,0,,,,,,,,60,,,,kg N ha−1,,3,,,Table 1,,1035,,,kg/ha,,,
