paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
064_Ogbuehi_et_al_1987_Intercropping_carrot_and_sweetc,64,64,mas,19. Ogbuehi et al 1987 Intercropping carrot and sweetcorn in a multiple cropping system,1984,95 days,Randomized block design,26 May 1984,,,,,,,North America,Zea mays L.,Daucus carota L.,cereal,root crop,0,0,,,,,,,,,,,,,5,5,5,5,Table 1,18.3,,,,MT/ha,,,
064_Ogbuehi_et_al_1987_Intercropping_carrot_and_sweetc,64,64,mas,19. Ogbuehi et al 1987 Intercropping carrot and sweetcorn in a multiple cropping system,1984,95 days,Randomized block design,16 June 1984,,,,,,,North America,Zea mays L.,Daucus carota L.,cereal,root crop,0,0,,,,,,,,,,,,,5,5,5,5,Table 1,14.1,,,,MT/ha,,,
064_Ogbuehi_et_al_1987_Intercropping_carrot_and_sweetc,64,64,mas,19. Ogbuehi et al 1987 Intercropping carrot and sweetcorn in a multiple cropping system,1984,95 days,Randomized block design,,26 May 1984,,,,,,North America,Zea mays L.,Daucus carota L.,cereal,root crop,0,0,,,,,,,,,,,,,5,5,5,5,Table 1,,7.4,,,MT/ha,,,
064_Ogbuehi_et_al_1987_Intercropping_carrot_and_sweetc,64,64,mas,19. Ogbuehi et al 1987 Intercropping carrot and sweetcorn in a multiple cropping system,1984,95 days,Randomized block design,,16 June 1984,,,,,,North America,Zea mays L.,Daucus carota L.,cereal,root crop,0,0,,,,,,,,,,,,,5,5,5,5,Table 1,,5.8,,,MT/ha,,,
064_Ogbuehi_et_al_1987_Intercropping_carrot_and_sweetc,64,64,mas,19. Ogbuehi et al 1987 Intercropping carrot and sweetcorn in a multiple cropping system,1984,95 days,Randomized block design,26 May 1984,16 June 1984,,,,,,North America,Zea mays L.,Daucus carota L.,cereal,root crop,0,0,Row,,,,,,,,,,,,5,5,5,5,Table 1,,,19.0,2.5,MT/ha,,,1.47
064_Ogbuehi_et_al_1987_Intercropping_carrot_and_sweetc,64,64,mas,19. Ogbuehi et al 1987 Intercropping carrot and sweetcorn in a multiple cropping system,1984,95 days,Randomized block design,26 May 1984,16 June 1984,,,,,,North America,Zea mays L.,Daucus carota L.,cereal,root crop,0,0,Row,,,,,,,,,,,,5,5,5,5,Table 1,,,18.3,3.3,MT/ha,,,1.57
064_Ogbuehi_et_al_1987_Intercropping_carrot_and_sweetc,64,64,mas,19. Ogbuehi et al 1987 Intercropping carrot and sweetcorn in a multiple cropping system,1984,95 days,Randomized block design,26 May 1984,16 June 1984,,,,,,North America,Zea mays L.,Daucus carota L.,cereal,root crop,0,0,Row,,,,,,,,,,,,5,5,5,5,Table 1,,,18.1,3.9,MT/ha,,,1.66
064_Ogbuehi_et_al_1987_Intercropping_carrot_and_sweetc,64,64,mas,19. Ogbuehi et al 1987 Intercropping carrot and sweetcorn in a multiple cropping system,1984,95 days,Randomized block design,16 June 1984,26 May 1984,,,,,,North America,Zea mays L.,Daucus carota L.,cereal,root crop,0,0,Row,,,,,,,,,,,,5,5,5,5,Table 1,,,13.0,3.6,MT/ha,,,1.41
064_Ogbuehi_et_al_1987_Intercropping_carrot_and_sweetc,64,64,mas,19. Ogbuehi et al 1987 Intercropping carrot and sweetcorn in a multiple cropping system,1984,95 days,Randomized block design,16 June 1984,26 May 1984,,,,,,North America,Zea mays L.,Daucus carota L.,cereal,root crop,0,0,Row,,,,,,,,,,,,5,5,5,5,Table 1,,,12.6,4.6,MT/ha,,,1.51
064_Ogbuehi_et_al_1987_Intercropping_carrot_and_sweetc,64,64,mas,19. Ogbuehi et al 1987 Intercropping carrot and sweetcorn in a multiple cropping system,1984,95 days,Randomized block design,16 June 1984,26 May 1984,,,,,,North America,Zea mays L.,Daucus carota L.,cereal,root crop,0,0,Row,,,,,,,,,,,,5,5,5,5,Table 1,,,12.6,5.0,MT/ha,,,1.57
