paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,Randomized Complete Block Design (RCBD),10 October 1998,10 October 1998,10 July 1999,21 July 1999,,38.4167,43.0333,Asia,Lentil,,legume,,0,,,,,233.3,,,25,,,,,kg/ha,3,,,,Table 1,835.0,,,,kg/ha,,,
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,Randomized Complete Block Design (RCBD),11 October 1999,11 October 1999,13 July 2000,,,38.4167,43.0333,Asia,Lentil,,legume,,0,,,,,241.9,,,25,,,,,kg/ha,3,,,,Table 1,570.0,,,,kg/ha,,,
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,Randomized Complete Block Design (RCBD),10 October 1998,10 October 1998,10 July 1999,21 July 1999,,38.4167,43.0333,Asia,,Wheat,,cereal,,0,,,,,187.3,,,25,,,,kg/ha,,3,,,Table 2,,1087,,,kg/ha,,,
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,Randomized Complete Block Design (RCBD),11 October 1999,11 October 1999,13 July 2000,,,38.4167,43.0333,Asia,,Wheat,,cereal,,0,,,,,400.7,,,25,,,,kg/ha,,3,,,Table 2,,2123.3,,,kg/ha,,,
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,Randomized Complete Block Design (RCBD),10 October 1998,10 October 1998,10 July 1999,21 July 1999,,38.4167,43.0333,Asia,Lentil,Wheat,legume,cereal,0,0,Mixed,161.7,139.0,233.3,187.3,,25,25,25,25,25,kg/ha,3,3,3,3,"Table 1, Table 2",,,268.0,290,kg/ha,,,
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,Randomized Complete Block Design (RCBD),11 October 1999,11 October 1999,13 July 2000,,,38.4167,43.0333,Asia,Lentil,Wheat,legume,cereal,0,0,Mixed,174.3,141.7,241.9,400.7,,25,25,25,25,25,kg/ha,3,3,3,3,"Table 1, Table 2",,,373.5,627.3,kg/ha,,,
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,Randomized Complete Block Design (RCBD),10 October 1998,10 October 1998,10 July 1999,21 July 1999,,38.4167,43.0333,Asia,Lentil,Wheat,legume,cereal,0,0,Mixed,150.0,161.7,233.3,187.3,,25,25,25,25,25,kg/ha,3,3,3,3,"Table 1, Table 2",,,225.0,483,kg/ha,,,
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,Randomized Complete Block Design (RCBD),11 October 1999,11 October 1999,13 July 2000,,,38.4167,43.0333,Asia,Lentil,Wheat,legume,cereal,0,0,Mixed,132.9,237.0,241.9,400.7,,25,25,25,25,25,kg/ha,3,3,3,3,"Table 1, Table 2",,,201.0,1117.0,kg/ha,,,
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,Randomized Complete Block Design (RCBD),10 October 1998,10 October 1998,10 July 1999,21 July 1999,,38.4167,43.0333,Asia,Lentil,Wheat,legume,cereal,0,0,Mixed,126.7,186.0,233.3,187.3,,25,25,25,25,25,kg/ha,3,3,3,3,"Table 1, Table 2",,,200.0,860,kg/ha,,,
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,Randomized Complete Block Design (RCBD),11 October 1999,11 October 1999,13 July 2000,,,38.4167,43.0333,Asia,Lentil,Wheat,legume,cereal,0,0,Mixed,107.3,560.0,241.9,400.7,,25,25,25,25,25,kg/ha,3,3,3,3,"Table 1, Table 2",,,222.0,1991,kg/ha,,,
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,Randomized Complete Block Design (RCBD),10 October 1998,10 October 1998,10 July 1999,21 July 1999,,38.4167,43.0333,Asia,Lentil,Barley,legume,cereal,0,0,Mixed,180.0,122.7,233.3,,,25,25,25,25,25,kg/ha,3,,3,,"Table 1, Table 2",,,342.0,840,kg/ha,,,
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,Randomized Complete Block Design (RCBD),11 October 1999,11 October 1999,13 July 2000,,,38.4167,43.0333,Asia,Lentil,Barley,legume,cereal,0,0,Mixed,209.9,224.0,241.9,,,25,25,25,25,25,kg/ha,3,,3,,"Table 1, Table 2",,,282.0,701.7,kg/ha,,,
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1998-99,,Randomized Complete Block Design (RCBD),10 October 1998,10 October 1998,10 July 1999,21 July 1999,,38.4167,43.0333,Asia,Lentil,Barley,legume,cereal,0,0,Mixed,160.0,234.3,233.3,,,25,25,25,25,25,kg/ha,3,,3,,"Table 1, Table 2",,,170.0,1173,kg/ha,,,
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,mas,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,1999-2000,,Randomized Complete Block Design (RCBD),11 October 1999,11 October 1999,13 July 2000,,,38.4167,43.0333,Asia,Lentil,Barley,legume,cereal,0,0,Mixed,105.0,546.0,233.3,,,25,25,25,25,25,kg/ha,3,,3,,"Table 1, Table 2",,,150.0,2233,kg/ha,,,
