paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,"1998‑99, 1999‑2000",,randomized complete block,10 October,11 October,,,,38.4167,43.0333,Asia,Lentil,Wheat,legume,cereal,0,0,,,,,,,25,25,,,,kg N ha⁻¹,3,3,3,3,Table 1,,,,,,,,1.0
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,"1998‑99, 1999‑2000",,randomized complete block,10 October,11 October,,,,38.4167,43.0333,Asia,Lentil,Wheat,legume,cereal,0,0,,,,,,,25,25,,,,kg N ha⁻¹,3,3,3,3,Table 1,,,,,,,,0.26
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,"1998‑99, 1999‑2000",,randomized complete block,10 October,11 October,,,,38.4167,43.0333,Asia,Lentil,Wheat,legume,cereal,0,0,,,,,,,25,25,,,,kg N ha⁻¹,3,3,3,3,Table 1,,,,,,,,0.43
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,"1998‑99, 1999‑2000",,randomized complete block,10 October,11 October,,,,38.4167,43.0333,Asia,Lentil,Wheat,legume,cereal,0,0,,,,,,,25,25,,,,kg N ha⁻¹,3,3,3,3,Table 1,,,,,,,,0.79
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,"1998‑99, 1999‑2000",,randomized complete block,10 October,11 October,,,,38.4167,43.0333,Asia,Lentil,Wheat,legume,cereal,0,0,,,,,,,25,25,,,,kg N ha⁻¹,3,3,3,3,Table 1,,,,,,,,1.0
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,"1998‑99, 1999‑2000",,randomized complete block,10 October,11 October,,,,38.4167,43.0333,Asia,Lentil,Barley,legume,cereal,0,0,,,,,,,25,25,,,,kg N ha⁻¹,3,3,3,3,Table 1,,,,,,,,1.0
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,"1998‑99, 1999‑2000",,randomized complete block,10 October,11 October,,,,38.4167,43.0333,Asia,Lentil,Barley,legume,cereal,0,0,,,,,,,25,25,,,,kg N ha⁻¹,3,3,3,3,Table 1,,,,,,,,0.3
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,"1998‑99, 1999‑2000",,randomized complete block,10 October,11 October,,,,38.4167,43.0333,Asia,Lentil,Barley,legume,cereal,0,0,,,,,,,25,25,,,,kg N ha⁻¹,3,3,3,3,Table 1,,,,,,,,0.38
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,"1998‑99, 1999‑2000",,randomized complete block,10 October,11 October,,,,38.4167,43.0333,Asia,Lentil,Barley,legume,cereal,0,0,,,,,,,25,25,,,,kg N ha⁻¹,3,3,3,3,Table 1,,,,,,,,0.53
066_Ciftci_et_al_2005_Economic_benefits_ofmixed_croppi,66,66,static_workflow,21. Ciftci et al 2005 Economic benefits ofmixed cropping of lentil with wheat and barley,"1998‑99, 1999‑2000",,randomized complete block,10 October,11 October,,,,38.4167,43.0333,Asia,Lentil,Barley,legume,cereal,0,0,,,,,,,25,25,,,,kg N ha⁻¹,3,3,3,3,Table 1,,,,,,,,1.0
