paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,static_workflow,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,,split-plot design,May 25,May 25,,,,52.6333,1.2833,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,1,1,,55000,,55000,240000,,0,,,,,kg N ha⁻¹,3,,,,Table 1,5828,,,,kg ha⁻¹,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,static_workflow,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,,split-plot design,May 25,May 25,,,,52.6333,1.2833,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,1,1,,55000,,55000,240000,,50,,,,,kg N ha⁻¹,3,,,,Table 1,6703,,,,kg ha⁻¹,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,static_workflow,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,,split-plot design,May 25,May 25,,,,52.6333,1.2833,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,1,1,,55000,,55000,240000,,100,,,,,kg N ha⁻¹,3,,,,Table 1,7029,,,,kg ha⁻¹,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,static_workflow,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,,split-plot design,May 25,May 25,,,,52.6333,1.2833,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,1,1,,,,,240000,,,,,,,kg N ha⁻¹,,,,,Table 1,,4972,,,kg ha⁻¹,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,static_workflow,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,,split-plot design,May 25,May 25,,,,52.6333,1.2833,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,1,1,,55000,60000,55000,240000,,0,,0,,0,kg N ha⁻¹,3,,,,Table 1,,,3777,1620,kg ha⁻¹,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,static_workflow,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,,split-plot design,May 25,May 25,,,,52.6333,1.2833,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,1,1,,55000,60000,55000,240000,,50,,50,,50,kg N ha⁻¹,3,,,,Table 1,,,5567,1599,kg ha⁻¹,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,static_workflow,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,,split-plot design,May 25,May 25,,,,52.6333,1.2833,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,1,1,,55000,60000,55000,240000,,100,,100,,100,kg N ha⁻¹,3,,,,Table 1,,,6035,1690,kg ha⁻¹,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,static_workflow,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,,split-plot design,May 25,May 25,,,,52.6333,1.2833,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,1,1,,55000,120000,55000,240000,,0,,0,,0,kg N ha⁻¹,3,,,,Table 1,,,3833,2636,kg ha⁻¹,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,static_workflow,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,,split-plot design,May 25,May 25,,,,52.6333,1.2833,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,1,1,,55000,120000,55000,240000,,50,,50,,50,kg N ha⁻¹,3,,,,Table 1,,,5486,2327,kg ha⁻¹,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,static_workflow,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,,split-plot design,May 25,May 25,,,,52.6333,1.2833,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,1,1,,55000,120000,55000,240000,,100,,100,,100,kg N ha⁻¹,3,,,,Table 1,,,6455,2505,kg ha⁻¹,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,static_workflow,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,,split-plot design,May 25,May 25,,,,52.6333,1.2833,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,1,1,,55000,180000,55000,240000,,0,,0,,0,kg N ha⁻¹,3,,,,Table 1,,,3155,3207,kg ha⁻¹,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,static_workflow,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,,split-plot design,May 25,May 25,,,,52.6333,1.2833,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,1,1,,55000,180000,55000,240000,,50,,50,,50,kg N ha⁻¹,3,,,,Table 1,,,4867,3477,kg ha⁻¹,,,
067_Morgado_et_al_2003_Effects_of_plant_population_and,67,67,static_workflow,23. Morgado et al 2003 Effects of plant population and nitrogen fertilizer on yield and efficiency,,,split-plot design,May 25,May 25,,,,52.6333,1.2833,Europe,Zea mays,Phaseolus vulgaris,cereal,legume,1,1,,55000,180000,55000,240000,,100,,100,,100,kg N ha⁻¹,3,,,,Table 1,,,5019,3936,kg ha⁻¹,,,1.51
