paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
074_Lithourgidis_et_al_2011_Dry_matter_yield_nitrogen_,74,74,mas,"32. Lithourgidis et al 2011 Dry matter yield, nitrogen content and competition in pea-cereal intercropping systems",2008–2010,180 days,Randomized Complete Block Design (RCBD),late November,,mid-May,,,40.6,22.9,Europe,Pisum arvense,,legume,,1,,,,,240,,,,,,,,,4,,,,Table 1,10.32,,,,Mg ha-1,,,
074_Lithourgidis_et_al_2011_Dry_matter_yield_nitrogen_,74,74,mas,"32. Lithourgidis et al 2011 Dry matter yield, nitrogen content and competition in pea-cereal intercropping systems",2008–2010,180 days,Randomized Complete Block Design (RCBD),late November,,mid-May,,,40.6,22.9,Europe,Triticum aestivum,,cereal,,1,,,,,395,,,,,,,,,4,,,,Table 1,11.69,,,,Mg ha-1,,,
074_Lithourgidis_et_al_2011_Dry_matter_yield_nitrogen_,74,74,mas,"32. Lithourgidis et al 2011 Dry matter yield, nitrogen content and competition in pea-cereal intercropping systems",2008–2010,180 days,Randomized Complete Block Design (RCBD),late November,late November,mid-May,mid-May,,40.6,22.9,Europe,Pisum arvense,Triticum aestivum,legume,cereal,1,1,Row,144,158,,,,,,,,,,,,4,4,Table 1; Table 2,,,5.28,5.45,Mg ha-1,0.51,0.47,0.98
074_Lithourgidis_et_al_2011_Dry_matter_yield_nitrogen_,74,74,mas,"32. Lithourgidis et al 2011 Dry matter yield, nitrogen content and competition in pea-cereal intercropping systems",2008–2010,180 days,Randomized Complete Block Design (RCBD),late November,late November,mid-May,mid-May,,40.6,22.9,Europe,Pisum arvense,Triticum aestivum,legume,cereal,1,1,Row,192,79,,,,,,,,,,,,4,4,Table 1; Table 2,,,8.68,3.65,Mg ha-1,0.84,0.31,1.15
074_Lithourgidis_et_al_2011_Dry_matter_yield_nitrogen_,74,74,mas,"32. Lithourgidis et al 2011 Dry matter yield, nitrogen content and competition in pea-cereal intercropping systems",2008–2010,180 days,Randomized Complete Block Design (RCBD),late November,,mid-May,,,40.6,22.9,Europe,Secale cereale,,cereal,,1,,,,,405,,,,,,,,,4,,,,Table 1,12.71,,,,Mg ha-1,,,
074_Lithourgidis_et_al_2011_Dry_matter_yield_nitrogen_,74,74,mas,"32. Lithourgidis et al 2011 Dry matter yield, nitrogen content and competition in pea-cereal intercropping systems",2008–2010,180 days,Randomized Complete Block Design (RCBD),late November,late November,mid-May,mid-May,,40.6,22.9,Europe,Pisum arvense,Secale cereale,legume,cereal,1,1,Row,144,160,,,,,,,,,,,,4,4,Table 1; Table 2,,,7.04,4.56,Mg ha-1,0.68,0.36,1.04
074_Lithourgidis_et_al_2011_Dry_matter_yield_nitrogen_,74,74,mas,"32. Lithourgidis et al 2011 Dry matter yield, nitrogen content and competition in pea-cereal intercropping systems",2008–2010,180 days,Randomized Complete Block Design (RCBD),late November,late November,mid-May,mid-May,,40.6,22.9,Europe,Pisum arvense,Secale cereale,legume,cereal,1,1,Row,192,80,,,,,,,,,,,,4,4,Table 1; Table 2,,,8.23,3.53,Mg ha-1,0.8,0.28,1.08
074_Lithourgidis_et_al_2011_Dry_matter_yield_nitrogen_,74,74,mas,"32. Lithourgidis et al 2011 Dry matter yield, nitrogen content and competition in pea-cereal intercropping systems",2008–2010,180 days,Randomized Complete Block Design (RCBD),late November,,mid-May,,,40.6,22.9,Europe,Triticosecale,,cereal,,1,,,,,401,,,,,,,,,4,,,,Table 1,15.7,,,,Mg ha-1,,,
074_Lithourgidis_et_al_2011_Dry_matter_yield_nitrogen_,74,74,mas,"32. Lithourgidis et al 2011 Dry matter yield, nitrogen content and competition in pea-cereal intercropping systems",2008–2010,180 days,Randomized Complete Block Design (RCBD),late November,late November,mid-May,mid-May,,40.6,22.9,Europe,Pisum arvense,Triticosecale,legume,cereal,1,1,Row,144,162,,,,,,,,,,,,4,4,Table 1; Table 2,,,7.88,5.23,Mg ha-1,0.76,0.33,1.1
074_Lithourgidis_et_al_2011_Dry_matter_yield_nitrogen_,74,74,mas,"32. Lithourgidis et al 2011 Dry matter yield, nitrogen content and competition in pea-cereal intercropping systems",2008–2010,180 days,Randomized Complete Block Design (RCBD),late November,late November,mid-May,mid-May,,40.6,22.9,Europe,Pisum arvense,Triticosecale,legume,cereal,1,1,Row,192,81,,,,,,,,,,,,4,4,Table 1; Table 2,,,9.11,4.79,Mg ha-1,0.88,0.31,1.19
