paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
074_Lithourgidis_et_al_2011_Dry_matter_yield_nitrogen_,74,74,static_workflow,"32. Lithourgidis et al 2011 Dry matter yield, nitrogen content and competition in pea-cereal intercropping systems","2008–2009, 2009–2010",,randomized complete block,,,,,,,,Europe,Pea,,legume,,0,,,,,,,,,,,,,,4,,,,Table 1; Table 2,10.32,,,,Mg ha-1,1.0,0.0,1.0
074_Lithourgidis_et_al_2011_Dry_matter_yield_nitrogen_,74,74,static_workflow,"32. Lithourgidis et al 2011 Dry matter yield, nitrogen content and competition in pea-cereal intercropping systems","2008–2009, 2009–2010",,randomized complete block,,,,,,,,Europe,,Wheat,,cereal,,0,,,,,,,,,,,,,,4,,,Table 1; Table 2,,11.69,,,Mg ha-1,0.0,1.0,1.0
074_Lithourgidis_et_al_2011_Dry_matter_yield_nitrogen_,74,74,static_workflow,"32. Lithourgidis et al 2011 Dry matter yield, nitrogen content and competition in pea-cereal intercropping systems","2008–2009, 2009–2010",,randomized complete block,,,,,,,,Europe,,Rye,,cereal,,0,,,,,,,,,,,,,,4,,,Table 1; Table 2,,12.71,,,Mg ha-1,0.0,1.0,1.0
074_Lithourgidis_et_al_2011_Dry_matter_yield_nitrogen_,74,74,static_workflow,"32. Lithourgidis et al 2011 Dry matter yield, nitrogen content and competition in pea-cereal intercropping systems","2008–2009, 2009–2010",,randomized complete block,,,,,,,,Europe,,Triticale,,cereal,,0,,,,,,,,,,,,,,4,,,Table 1; Table 2,,15.7,,,Mg ha-1,0.0,1.0,1.0
074_Lithourgidis_et_al_2011_Dry_matter_yield_nitrogen_,74,74,static_workflow,"32. Lithourgidis et al 2011 Dry matter yield, nitrogen content and competition in pea-cereal intercropping systems","2008–2009, 2009–2010",,randomized complete block,,,,,,,,Europe,Pea,Wheat,legume,cereal,0,0,,,,,,,,,,,,,,,4,4,Table 1; Table 2,,,5.28,5.45,Mg ha-1,0.51,0.47,0.98
074_Lithourgidis_et_al_2011_Dry_matter_yield_nitrogen_,74,74,static_workflow,"32. Lithourgidis et al 2011 Dry matter yield, nitrogen content and competition in pea-cereal intercropping systems","2008–2009, 2009–2010",,randomized complete block,,,,,,,,Europe,Pea,Wheat,legume,cereal,0,0,,,,,,,,,,,,,,,4,4,Table 1; Table 2,,,8.68,3.65,Mg ha-1,0.84,0.31,1.15
074_Lithourgidis_et_al_2011_Dry_matter_yield_nitrogen_,74,74,static_workflow,"32. Lithourgidis et al 2011 Dry matter yield, nitrogen content and competition in pea-cereal intercropping systems","2008–2009, 2009–2010",,randomized complete block,,,,,,,,Europe,Pea,Rye,legume,cereal,0,0,,,,,,,,,,,,,,,4,4,Table 1; Table 2,,,7.04,4.56,Mg ha-1,0.68,0.36,1.04
074_Lithourgidis_et_al_2011_Dry_matter_yield_nitrogen_,74,74,static_workflow,"32. Lithourgidis et al 2011 Dry matter yield, nitrogen content and competition in pea-cereal intercropping systems","2008–2009, 2009–2010",,randomized complete block,,,,,,,,Europe,Pea,Rye,legume,cereal,0,0,,,,,,,,,,,,,,,4,4,Table 1; Table 2,,,8.23,3.53,Mg ha-1,0.8,0.28,1.08
074_Lithourgidis_et_al_2011_Dry_matter_yield_nitrogen_,74,74,static_workflow,"32. Lithourgidis et al 2011 Dry matter yield, nitrogen content and competition in pea-cereal intercropping systems","2008–2009, 2009–2010",,randomized complete block,,,,,,,,Europe,Pea,Triticale,legume,cereal,0,0,,,,,,,,,,,,,,,4,4,Table 1; Table 2,,,7.88,5.23,Mg ha-1,0.76,0.33,1.1
074_Lithourgidis_et_al_2011_Dry_matter_yield_nitrogen_,74,74,static_workflow,"32. Lithourgidis et al 2011 Dry matter yield, nitrogen content and competition in pea-cereal intercropping systems","2008–2009, 2009–2010",,randomized complete block,,,,,,,,Europe,Pea,Triticale,legume,cereal,0,0,,,,,,,,,,,,,,,4,4,Table 1; Table 2,,,9.11,4.79,Mg ha-1,0.88,0.31,1.19
