paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,,,Randomized Complete Block Design (RCBD),,,,,,38.25,46.2833,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),root/tuber,legume,0,0,Row,,,5.3,,,,,,,,,3,,,,Table 2 (potato yields),1.595,,,,kg m-2,,,
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,,,Randomized Complete Block Design (RCBD),,,,,,38.25,46.2833,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),root/tuber,legume,0,0,Row,,,4.7,,,,,,,,,3,,,,Table 2 (potato yields),1.577,,,,kg m-2,,,
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,,,Randomized Complete Block Design (RCBD),,,,,,38.25,46.2833,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),root/tuber,legume,0,0,Row,,,,55,,,,,,,,,3,,,Table 4 (pinto bean yields),,303.7,,,g m-2,,,
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,,,Randomized Complete Block Design (RCBD),,,,,,38.25,46.2833,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),root/tuber,legume,0,0,Row,,,,45,,,,,,,,,3,,,Table 4 (pinto bean yields),,288.06,,,g m-2,,,
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,,,Randomized Complete Block Design (RCBD),,,,,,38.25,46.2833,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),root/tuber,legume,0,0,Row,5.3,55,,,,,,,,,,,,3,3,Table 2 (potato yields) & Table 4 (bean yields),,,2.032,372.66,,,,
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005,,Randomized Complete Block Design (RCBD),,,,,,38.25,46.2833,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),root/tuber,legume,0,0,Row,5.3,55,,,,,,,,,,,,3,3,Table 5 (LER),,,2.032,372.66,,,,1.25
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2006,,Randomized Complete Block Design (RCBD),,,,,,38.25,46.2833,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),root/tuber,legume,0,0,Row,5.3,55,,,,,,,,,,,,3,3,Table 5 (LER),,,2.032,372.66,,,,1.27
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,,,Randomized Complete Block Design (RCBD),,,,,,38.25,46.2833,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),root/tuber,legume,0,0,Row,5.3,45,,,,,,,,,,,,3,3,Table 2 & Table 4,,,2.067,326.73,,,,
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005,,Randomized Complete Block Design (RCBD),,,,,,38.25,46.2833,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),root/tuber,legume,0,0,Row,5.3,45,,,,,,,,,,,,3,3,Table 5 (LER),,,2.067,326.73,,,,1.24
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,direct_llm,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2006,,Randomized Complete Block Design (RCBD),,,,,,38.25,46.2833,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),root/tuber,legume,0,0,Row,5.3,45,,,,,,,,,,,,3,3,Table 5 (LER),,,2.067,326.73,,,,1.24
