paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,,,randomized complete block design,,,,,,38.25,46.2833,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,,,,,,,,,,,,,3,3,3,3,Table 2 (potato yields),1.595,,,,kg per m²,,,
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,,,randomized complete block design,,,,,,38.25,46.2833,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,,,,,,,,,,,,,3,3,3,3,Table 2 (potato yields),1.577,,,,kg per m²,,,
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,,,randomized complete block design,,,,,,38.25,46.2833,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,,,,,,,,,,,,,3,3,3,3,Table 4 (pinto bean yields),,303.7,,,g per m²,,,
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,,,randomized complete block design,,,,,,38.25,46.2833,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,,,,,,,,,,,,,3,3,3,3,Table 4 (pinto bean yields),,288.06,,,g per m²,,,
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005,,randomized complete block design,,,,,,38.25,46.2833,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,,,,,,,,,,,,,3,3,3,3,Table 2 (potato yields); Table 4 (pinto bean yields); Table 5 (Land Equivalent Ratio),,,2.032,372.66,kg per m² (potato) and g per m² (bean),0.83,0.42,1.25
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2006,,randomized complete block design,,,,,,38.25,46.2833,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,,,,,,,,,,,,,3,3,3,3,Table 2 (potato yields); Table 4 (pinto bean yields); Table 5 (Land Equivalent Ratio),,,2.032,372.66,kg per m² (potato) and g per m² (bean),0.86,0.41,1.27
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005,,randomized complete block design,,,,,,38.25,46.2833,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,,,,,,,,,,,,,3,3,3,3,Table 2 (potato yields); Table 4 (pinto bean yields); Table 5 (Land Equivalent Ratio),,,2.067,326.73,kg per m² (potato) and g per m² (bean),0.85,0.39,1.24
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2006,,randomized complete block design,,,,,,38.25,46.2833,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,,,,,,,,,,,,,3,3,3,3,Table 2 (potato yields); Table 4 (pinto bean yields); Table 5 (Land Equivalent Ratio),,,2.067,326.73,kg per m² (potato) and g per m² (bean),0.87,0.37,1.24
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005,,randomized complete block design,,,,,,38.25,46.2833,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,,,,,,,,,,,,,3,3,3,3,Table 2 (potato yields); Table 4 (pinto bean yields); Table 5 (Land Equivalent Ratio),,,1.884,389.01,kg per m² (potato) and g per m² (bean),0.79,0.44,1.23
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2006,,randomized complete block design,,,,,,38.25,46.2833,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,,,,,,,,,,,,,3,3,3,3,Table 2 (potato yields); Table 4 (pinto bean yields); Table 5 (Land Equivalent Ratio),,,1.884,389.01,kg per m² (potato) and g per m² (bean),0.8,0.42,1.22
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005,,randomized complete block design,,,,,,38.25,46.2833,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,,,,,,,,,,,,,3,3,3,3,Table 2 (potato yields); Table 4 (pinto bean yields); Table 5 (Land Equivalent Ratio),,,1.935,341.33,kg per m² (potato) and g per m² (bean),0.8,0.41,1.21
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2006,,randomized complete block design,,,,,,38.25,46.2833,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,,,,,,,,,,,,,3,3,3,3,Table 2 (potato yields); Table 4 (pinto bean yields); Table 5 (Land Equivalent Ratio),,,1.935,341.33,kg per m² (potato) and g per m² (bean),0.82,0.39,1.21
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2005,,randomized complete block design,,,,,,38.25,46.2833,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,,,,,,,,,,,,,3,3,3,3,Table 2 (potato yields); Table 4 (pinto bean yields); Table 5 (Land Equivalent Ratio),,,1.8,374.66,kg per m² (potato) and g per m² (bean),0.85,0.31,1.16
076_Asl_et_al_2009_Potato_and_pinto_bean_intercropping,76,76,static_workflow,34. Asl et al 2009 Potato and pinto bean intercropping based on replacement method,2006,,randomized complete block design,,,,,,38.25,46.2833,Asia,Potato (Solanum tuberosum L.),Pinto bean (Phaseolus vulgaris L. var. pinto),tuber,legume,0,0,,,,,,,,,,,,,3,3,3,3,Table 2 (potato yields); Table 4 (pinto bean yields); Table 5 (Land Equivalent Ratio),,,1.8,374.66,kg per m² (potato) and g per m² (bean),0.85,0.32,1.17
