paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
082_Allen_et_al_1983_Yield_of_corn_cowpea_and_soybean_,82,82,static_workflow,"41. Allen et al 1983 Yield of corn, cowpea, and soybean under different intercropping systems",1980,,completely randomized design,,,,,,,,,Corn,Cowpea,cereal,legume,0,0,alternate rows,,,,,,120,20,,,,kg ha-1,4,,,,Table 1,,,2990,530,kg ha-1,,,1.27
082_Allen_et_al_1983_Yield_of_corn_cowpea_and_soybean_,82,82,static_workflow,"41. Allen et al 1983 Yield of corn, cowpea, and soybean under different intercropping systems",1981,,completely randomized design,,,,,,,,,Corn,Cowpea,cereal,legume,0,0,alternate rows,,,,,,120,20,,,,kg ha-1,4,,,,Table 1,,,9270,2040,kg ha-1,,,1.3
082_Allen_et_al_1983_Yield_of_corn_cowpea_and_soybean_,82,82,static_workflow,"41. Allen et al 1983 Yield of corn, cowpea, and soybean under different intercropping systems",1980,,completely randomized design,,,,,,,,,Corn,Cowpea,cereal,legume,0,0,within rows,,,,,,120,20,,,,kg ha-1,4,,,,Table 1,,,3390,450,kg ha-1,,,1.26
082_Allen_et_al_1983_Yield_of_corn_cowpea_and_soybean_,82,82,static_workflow,"41. Allen et al 1983 Yield of corn, cowpea, and soybean under different intercropping systems",1981,,completely randomized design,,,,,,,,,Corn,Cowpea,cereal,legume,0,0,within rows,,,,,,120,20,,,,kg ha-1,4,,,,Table 1,,,10090,1780,kg ha-1,,,1.32
082_Allen_et_al_1983_Yield_of_corn_cowpea_and_soybean_,82,82,static_workflow,"41. Allen et al 1983 Yield of corn, cowpea, and soybean under different intercropping systems",1980,,completely randomized design,,,,,,,,,Corn,Cowpea,cereal,legume,0,0,,,,,,,120,20,,,,kg ha-1,4,,,,Table 1,4280,,,,kg ha-1,,,1.0
082_Allen_et_al_1983_Yield_of_corn_cowpea_and_soybean_,82,82,static_workflow,"41. Allen et al 1983 Yield of corn, cowpea, and soybean under different intercropping systems",1981,,completely randomized design,,,,,,,,,Corn,Cowpea,cereal,legume,0,0,,,,,,,120,20,,,,kg ha-1,4,,,,Table 1,11230,,,,kg ha-1,,,1.0
082_Allen_et_al_1983_Yield_of_corn_cowpea_and_soybean_,82,82,static_workflow,"41. Allen et al 1983 Yield of corn, cowpea, and soybean under different intercropping systems",1980,,completely randomized design,,,,,,,,,Corn,Cowpea,cereal,legume,0,0,,,,,,,120,20,,,,kg ha-1,4,,,,Table 1,,940,,,kg ha-1,,,1.0
082_Allen_et_al_1983_Yield_of_corn_cowpea_and_soybean_,82,82,static_workflow,"41. Allen et al 1983 Yield of corn, cowpea, and soybean under different intercropping systems",1981,,completely randomized design,,,,,,,,,Corn,Cowpea,cereal,legume,0,0,,,,,,,120,20,,,,kg ha-1,4,,,,Table 1,,4290,,,kg ha-1,,,1.0
082_Allen_et_al_1983_Yield_of_corn_cowpea_and_soybean_,82,82,static_workflow,"41. Allen et al 1983 Yield of corn, cowpea, and soybean under different intercropping systems",1980,,completely randomized design,,,,,,,,,Corn,Soybean,cereal,legume,0,0,alternate rows,,,,,,120,,,,,kg ha-1,4,,,,Table 2,,,2540,1790,kg ha-1,,,1.13
082_Allen_et_al_1983_Yield_of_corn_cowpea_and_soybean_,82,82,static_workflow,"41. Allen et al 1983 Yield of corn, cowpea, and soybean under different intercropping systems",1981,,completely randomized design,,,,,,,,,Corn,Soybean,cereal,legume,0,0,alternate rows,,,,,,120,,,,,kg ha-1,4,,,,Table 2,,,5180,2190,kg ha-1,,,1.07
082_Allen_et_al_1983_Yield_of_corn_cowpea_and_soybean_,82,82,static_workflow,"41. Allen et al 1983 Yield of corn, cowpea, and soybean under different intercropping systems",1980,,completely randomized design,,,,,,,,,Corn,Soybean,cereal,legume,0,0,within rows,,,,,,120,,,,,kg ha-1,4,,,,Table 2,,,2990,1740,kg ha-1,,,1.22
082_Allen_et_al_1983_Yield_of_corn_cowpea_and_soybean_,82,82,static_workflow,"41. Allen et al 1983 Yield of corn, cowpea, and soybean under different intercropping systems",1981,,completely randomized design,,,,,,,,,Corn,Soybean,cereal,legume,0,0,within rows,,,,,,120,,,,,kg ha-1,4,,,,Table 2,,,6960,1720,kg ha-1,,,1.1
082_Allen_et_al_1983_Yield_of_corn_cowpea_and_soybean_,82,82,static_workflow,"41. Allen et al 1983 Yield of corn, cowpea, and soybean under different intercropping systems",1980,,completely randomized design,,,,,,,,,Corn,Soybean,cereal,legume,0,0,,,,,,,120,,,,,kg ha-1,4,,,,Table 2,,3320,,,kg ha-1,,,1.0
082_Allen_et_al_1983_Yield_of_corn_cowpea_and_soybean_,82,82,static_workflow,"41. Allen et al 1983 Yield of corn, cowpea, and soybean under different intercropping systems",1981,,completely randomized design,,,,,,,,,Corn,Soybean,cereal,legume,0,0,,,,,,,120,,,,,kg ha-1,4,,,,Table 2,,3620,,,kg ha-1,,,1.0
