paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,direct_llm,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1980,,Split-plot,,,,,,,,,Maize,Cowpea,cereal,legume,0,0,Row,,,2.5,5.0,,0,0,,,,kg N ha-1,3,3,,,Figure 1 (N1P2),,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,direct_llm,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1980,,Split-plot,,,,,,,,,Maize,Cowpea,cereal,legume,0,0,Row,,,2.5,5.0,,75,75,,,,kg N ha-1,3,3,,,Figure 1 (N2P1),,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,direct_llm,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1980,,Split-plot,,,,,,,,,Maize,Cowpea,cereal,legume,0,0,Row,,,2.5,5.0,,75,75,,,,kg N ha-1,3,3,,,Figure 1 (N2P2),,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,direct_llm,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1980,,Split-plot,,,,,,,,,Maize,Cowpea,cereal,legume,0,0,Row,1.875,1.25,,,,,,,,0,kg N ha-1,,,3,3,Figure 1 (N1P2) – Mc mixture,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,direct_llm,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1980,,Split-plot,,,,,,,,,Maize,Cowpea,cereal,legume,0,0,Row,1.875,1.25,,,,,,,,75,kg N ha-1,,,3,3,Figure 1 (N2P1) – Mc mixture,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,direct_llm,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1980,,Split-plot,,,,,,,,,Maize,Cowpea,cereal,legume,0,0,Row,1.875,1.25,,,,,,,,75,kg N ha-1,,,3,3,Figure 1 (N2P2) – Mc mixture,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,direct_llm,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1980,,Split-plot,,,,,,,,,Maize,Cowpea,cereal,legume,0,0,Row,1.25,2.5,,,,,,,,0,kg N ha-1,,,3,3,Figure 1 (N1P2) – mc mixture,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,direct_llm,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1980,,Split-plot,,,,,,,,,Maize,Cowpea,cereal,legume,0,0,Row,1.25,2.5,,,,,,,,75,kg N ha-1,,,3,3,Figure 1 (N2P1) – mc mixture,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,direct_llm,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1980,,Split-plot,,,,,,,,,Maize,Cowpea,cereal,legume,0,0,Row,1.25,2.5,,,,,,,,75,kg N ha-1,,,3,3,Figure 1 (N2P2) – mc mixture,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,direct_llm,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1980,,Split-plot,,,,,,,,,Maize,Cowpea,cereal,legume,0,0,Row,0.625,3.75,,,,,,,,0,kg N ha-1,,,3,3,Figure 1 (N1P2) – mC mixture,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,direct_llm,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1980,,Split-plot,,,,,,,,,Maize,Cowpea,cereal,legume,0,0,Row,0.625,3.75,,,,,,,,75,kg N ha-1,,,3,3,Figure 1 (N2P1) – mC mixture,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,direct_llm,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1980,,Split-plot,,,,,,,,,Maize,Cowpea,cereal,legume,0,0,Row,0.625,3.75,,,,,,,,75,kg N ha-1,,,3,3,Figure 1 (N2P2) – mC mixture,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,direct_llm,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1980,,Split-plot,,,,,,,,,Maize,Cowpea,cereal,legume,0,0,Row,3.75,2.5,,,,,,,,0,kg N ha-1,,,3,3,Figure 2 (N1P2) – Mc mixture,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,direct_llm,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1980,,Split-plot,,,,,,,,,Maize,Cowpea,cereal,legume,0,0,Row,3.75,2.5,,,,,,,,75,kg N ha-1,,,3,3,Figure 2 (N2P1) – Mc mixture,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,direct_llm,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1980,,Split-plot,,,,,,,,,Maize,Cowpea,cereal,legume,0,0,Row,3.75,2.5,,,,,,,,75,kg N ha-1,,,3,3,Figure 2 (N2P2) – Mc mixture,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,direct_llm,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1980,,Split-plot,,,,,,,,,Maize,Cowpea,cereal,legume,0,0,Row,2.5,5.0,,,,,,,,0,kg N ha-1,,,3,3,Figure 2 (N1P2) – mc mixture,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,direct_llm,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1980,,Split-plot,,,,,,,,,Maize,Cowpea,cereal,legume,0,0,Row,2.5,5.0,,,,,,,,75,kg N ha-1,,,3,3,Figure 2 (N2P1) – mc mixture,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,direct_llm,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1980,,Split-plot,,,,,,,,,Maize,Cowpea,cereal,legume,0,0,Row,2.5,5.0,,,,,,,,75,kg N ha-1,,,3,3,Figure 2 (N2P2) – mc mixture,,,,,,,,
