paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,static_workflow,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1979–1980,,split-plot,November 1979,November 1979,12–18 weeks after sowing,20 weeks after sowing,,,,North America,cowpea,maize,legume,cereal,0,0,Mixed,,,2.5,,,,,,,,kg N ha⁻¹,3,,,,Fig.1,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,static_workflow,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1979–1980,,split-plot,November 1979,November 1979,12–18 weeks after sowing,20 weeks after sowing,,,,North America,cowpea,maize,legume,cereal,0,0,Mixed,,,,2.5,,,,,,,kg N ha⁻¹,,3,,,Fig.1,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,static_workflow,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1979–1980,,split-plot,November 1979,November 1979,12–18 weeks after sowing,20 weeks after sowing,,,,North America,cowpea,maize,legume,cereal,0,0,Mixed,1.875,0.625,,,,,,,,,kg N ha⁻¹,,,3,3,Fig.1,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,static_workflow,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1979–1980,,split-plot,November 1979,November 1979,12–18 weeks after sowing,20 weeks after sowing,,,,North America,cowpea,maize,legume,cereal,0,0,Mixed,1.25,1.25,,,,,,,,,kg N ha⁻¹,,,3,3,Fig.1,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,static_workflow,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1979–1980,,split-plot,November 1979,November 1979,12–18 weeks after sowing,20 weeks after sowing,,,,North America,cowpea,maize,legume,cereal,0,0,Mixed,0.625,1.875,,,,,,,,,kg N ha⁻¹,,,3,3,Fig.1,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,static_workflow,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1979–1980,,split-plot,November 1979,November 1979,12–18 weeks after sowing,20 weeks after sowing,,,,North America,cowpea,maize,legume,cereal,0,0,Mixed,,,2.5,,,,,75,75,75,kg N ha⁻¹,3,,3,3,Fig.1,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,static_workflow,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1979–1980,,split-plot,November 1979,November 1979,12–18 weeks after sowing,20 weeks after sowing,,,,North America,cowpea,maize,legume,cereal,0,0,Mixed,,,,2.5,,,,75,75,75,kg N ha⁻¹,,3,3,3,Fig.1,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,static_workflow,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1979–1980,,split-plot,November 1979,November 1979,12–18 weeks after sowing,20 weeks after sowing,,,,North America,cowpea,maize,legume,cereal,0,0,Mixed,1.875,0.625,,,,,,75,75,75,kg N ha⁻¹,,,3,3,Fig.1,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,static_workflow,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1979–1980,,split-plot,November 1979,November 1979,12–18 weeks after sowing,20 weeks after sowing,,,,North America,cowpea,maize,legume,cereal,0,0,Mixed,1.25,1.25,,,,,,75,75,75,kg N ha⁻¹,,,3,3,Fig.1,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,static_workflow,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1979–1980,,split-plot,November 1979,November 1979,12–18 weeks after sowing,20 weeks after sowing,,,,North America,cowpea,maize,legume,cereal,0,0,Mixed,0.625,1.875,,,,,,75,75,75,kg N ha⁻¹,,,3,3,Fig.1,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,static_workflow,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1979–1980,,split-plot,November 1979,November 1979,12–18 weeks after sowing,20 weeks after sowing,,,,North America,cowpea,maize,legume,cereal,0,0,Mixed,,,5,,,,,,,,kg N ha⁻¹,3,,,,Fig.1,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,static_workflow,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1979–1980,,split-plot,November 1979,November 1979,12–18 weeks after sowing,20 weeks after sowing,,,,North America,cowpea,maize,legume,cereal,0,0,Mixed,,,,5,,,,,,,kg N ha⁻¹,,3,,,Fig.1,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,static_workflow,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1979–1980,,split-plot,November 1979,November 1979,12–18 weeks after sowing,20 weeks after sowing,,,,North America,cowpea,maize,legume,cereal,0,0,Mixed,3.75,1.25,,,,,,,,,kg N ha⁻¹,,,3,3,Fig.1,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,static_workflow,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1979–1980,,split-plot,November 1979,November 1979,12–18 weeks after sowing,20 weeks after sowing,,,,North America,cowpea,maize,legume,cereal,0,0,Mixed,2.5,2.5,,,,,,,,,kg N ha⁻¹,,,3,3,Fig.1,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,static_workflow,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1979–1980,,split-plot,November 1979,November 1979,12–18 weeks after sowing,20 weeks after sowing,,,,North America,cowpea,maize,legume,cereal,0,0,Mixed,0.625,1.875,,,,,,,,,kg N ha⁻¹,,,3,3,Fig.1,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,static_workflow,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1979–1980,,split-plot,November 1979,November 1979,12–18 weeks after sowing,20 weeks after sowing,,,,North America,cowpea,maize,legume,cereal,0,0,Mixed,,,5,,,,,75,75,75,kg N ha⁻¹,3,,3,3,Fig.1,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,static_workflow,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1979–1980,,split-plot,November 1979,November 1979,12–18 weeks after sowing,20 weeks after sowing,,,,North America,cowpea,maize,legume,cereal,0,0,Mixed,,,,5,,,,75,75,75,kg N ha⁻¹,,3,3,3,Fig.1,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,static_workflow,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1979–1980,,split-plot,November 1979,November 1979,12–18 weeks after sowing,20 weeks after sowing,,,,North America,cowpea,maize,legume,cereal,0,0,Mixed,5.625,1.875,,,,,,,,,kg N ha⁻¹,,,3,3,Fig.1,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,static_workflow,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1979–1980,,split-plot,November 1979,November 1979,12–18 weeks after sowing,20 weeks after sowing,,,,North America,cowpea,maize,legume,cereal,0,0,Mixed,3.75,3.75,,,,,,,,,kg N ha⁻¹,,,3,3,Fig.1,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,static_workflow,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1979–1980,,split-plot,November 1979,November 1979,12–18 weeks after sowing,20 weeks after sowing,,,,North America,cowpea,maize,legume,cereal,0,0,Mixed,1.875,5.625,,,,,,,,,kg N ha⁻¹,,,3,3,Fig.1,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,static_workflow,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1979–1980,,split-plot,November 1979,November 1979,12–18 weeks after sowing,20 weeks after sowing,,,,North America,cowpea,maize,legume,cereal,0,0,Mixed,,,7.5,,,,,,,,kg N ha⁻¹,3,,,,Fig.1,,,,,,,,
085_Chang_et_al_1985_An_analysis_of_competition_betwee,85,85,static_workflow,45. Chang et al 1985 An analysis of competition between intercropped cowpea and maize,1979–1980,,split-plot,November 1979,November 1979,12–18 weeks after sowing,20 weeks after sowing,,,,North America,cowpea,maize,legume,cereal,0,0,Mixed,,,,7.5,,,,,,,kg N ha⁻¹,,3,,,Fig.1,,,,,,,,
