paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,split-plot,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,30.0,154.0,63.0,275.0,,0.0,0.0,,,0.0,g N m-2,3.0,3.0,3.0,3.0,Table 3,456.0,412.0,138.9,340.1,g DM m-2,,,1.13
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,split-plot,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,30.0,154.0,63.0,275.0,,5.0,5.0,,,5.0,g N m-2,3.0,3.0,3.0,3.0,Table 3,357.0,550.0,81.15,459.85,g DM m-2,,,1.06
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,split-plot,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,35.0,185.0,65.0,381.0,,0.0,0.0,,,0.0,g N m-2,3.0,3.0,3.0,3.0,Table 3,437.0,355.0,234.14,274.86,g DM m-2,,,1.31
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,split-plot,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,35.0,185.0,65.0,381.0,,5.0,5.0,,,5.0,g N m-2,3.0,3.0,3.0,3.0,Table 3,456.0,467.0,77.85,441.15,g DM m-2,,,1.13
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,split-plot,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,45.0,167.0,88.0,299.0,,0.0,0.0,,,0.0,g N m-2,3.0,3.0,3.0,3.0,Table 3,714.0,473.0,309.26,348.74,g DM m-2,,,1.17
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,split-plot,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,45.0,167.0,88.0,299.0,,5.0,5.0,,,5.0,g N m-2,3.0,3.0,3.0,3.0,Table 3,767.0,615.0,199.5,465.5,g DM m-2,,,1.02
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1984,,split-plot,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,48.0,178.0,88.0,356.0,,0.0,0.0,,,0.0,g N m-2,4.0,4.0,4.0,4.0,Table 3,659.0,332.0,375.87,185.13,g DM m-2,,,1.12
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1984,,split-plot,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,48.0,178.0,88.0,356.0,,5.0,5.0,,,5.0,g N m-2,4.0,4.0,4.0,4.0,Table 3,661.0,579.0,206.38,400.62,g DM m-2,,,1.0
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",Mean,,split-plot,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,,,,,,0.0,0.0,,,0.0,g N m-2,,,,,Table 3,567.0,393.0,259.44,292.56,g DM m-2,,,1.18
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,direct_llm,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",Mean,,split-plot,,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,,,,,,5.0,5.0,,,5.0,g N m-2,,,,,Table 3,560.0,553.0,139.92,443.08,g DM m-2,,,1.05
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,2,direct_llm,"Hauggaard-Nielsen 2001 Interspecific competition, N use and interference with weeds in pea-barley",1998,120 days,Randomized Complete Block Design (RCBD),23 April 1998,23 April 1998,,,,55.68,12.08,Europe,Field pea (Pisum sativum L.),Spring barley (Hordeum vulgare L.),legume,cereal,0,0,Mixed,,,70.0,300.0,,,,,,,,8.0,8.0,8.0,8.0,Table 2,2630.0,3927.0,604.0,3974.0,kg DM ha-1,,,
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,direct_llm,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1988,,Bivariate factorial design with three fully randomized blocks (RCBD),5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,False,False,Mixed,62.5,6.25,250.0,25.0,,,,,,,,3.0,3.0,3.0,3.0,Tables 1‑15,,,,,,0.41,0.35,0.76
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,direct_llm,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1988,,Bivariate factorial design with three fully randomized blocks (RCBD),5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,False,False,Mixed,125.0,6.25,250.0,25.0,,,,,,,,3.0,3.0,3.0,3.0,Tables 1‑15,,,,,,0.73,0.36,1.06
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,direct_llm,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1988,,Bivariate factorial design with three fully randomized blocks (RCBD),5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,False,False,Mixed,187.5,6.25,250.0,25.0,,,,,,,,3.0,3.0,3.0,3.0,Tables 1‑15,,,,,,0.78,0.24,1.02
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,direct_llm,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1988,,Bivariate factorial design with three fully randomized blocks (RCBD),5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,False,False,Mixed,250.0,6.25,250.0,25.0,,,,,,,,3.0,3.0,3.0,3.0,Tables 1‑15,,,,,,0.92,0.35,1.27
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,direct_llm,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1988,,Bivariate factorial design with three fully randomized blocks (RCBD),5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,False,False,Mixed,62.5,12.5,250.0,25.0,,,,,,,,3.0,3.0,3.0,3.0,Tables 1‑15,,,,,,0.32,0.54,0.86
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,direct_llm,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1988,,Bivariate factorial design with three fully randomized blocks (RCBD),5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,False,False,Mixed,125.0,12.5,250.0,25.0,,,,,,,,3.0,3.0,3.0,3.0,Tables 1‑15,,,,,,0.53,0.55,1.08
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,direct_llm,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1988,,Bivariate factorial design with three fully randomized blocks (RCBD),5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,False,False,Mixed,187.5,12.5,250.0,25.0,,,,,,,,3.0,3.0,3.0,3.0,Tables 1‑15,,,,,,0.75,0.31,1.05
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,direct_llm,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1988,,Bivariate factorial design with three fully randomized blocks (RCBD),5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,False,False,Mixed,62.5,18.75,250.0,25.0,,,,,,,,3.0,3.0,3.0,3.0,Tables 1‑15,,,,,,0.32,0.63,0.94
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,direct_llm,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1988,,Bivariate factorial design with three fully randomized blocks (RCBD),5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,False,False,Mixed,125.0,18.75,250.0,25.0,,,,,,,,3.0,3.0,3.0,3.0,Tables 1‑15,,,,,,0.5,0.66,1.16
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,direct_llm,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1988,,Bivariate factorial design with three fully randomized blocks (RCBD),5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,False,False,Mixed,187.5,18.75,250.0,25.0,,,,,,,,3.0,3.0,3.0,3.0,Tables 1‑15,,,,,,0.73,0.56,1.29
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,direct_llm,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1988,,Bivariate factorial design with three fully randomized blocks (RCBD),5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,False,False,Mixed,250.0,18.75,250.0,25.0,,,,,,,,3.0,3.0,3.0,3.0,Tables 1‑15,,,,,,0.67,0.61,1.27
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,direct_llm,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1988,,Bivariate factorial design with three fully randomized blocks (RCBD),5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,False,False,Mixed,62.5,25.0,250.0,25.0,,,,,,,,3.0,3.0,3.0,3.0,Tables 1‑15,,,,,,0.28,0.69,0.97
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,direct_llm,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1988,,Bivariate factorial design with three fully randomized blocks (RCBD),5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,False,False,Mixed,125.0,25.0,250.0,25.0,,,,,,,,3.0,3.0,3.0,3.0,Tables 1‑15,,,,,,0.53,0.62,1.15
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,direct_llm,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1988,,Bivariate factorial design with three fully randomized blocks (RCBD),5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,False,False,Mixed,187.5,25.0,250.0,25.0,,,,,,,,3.0,3.0,3.0,3.0,Tables 1‑15,,,,,,0.64,0.6,1.24
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,direct_llm,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,1988,,Bivariate factorial design with three fully randomized blocks (RCBD),5 November 1987,4 November 1987,3 October 1988,3 October 1988,,,,Europe,Wheat (Triticum aestivum),Field bean (Vicia faba),cereal,legume,False,False,Mixed,250.0,25.0,250.0,25.0,,,,,,,,3.0,3.0,3.0,3.0,Tables 1‑15,,,,,,0.75,0.41,1.16
004_Li_2001_Wheat_maize_or_wheat_soybean_strip_intercr,4,4,direct_llm,Li 2001 Wheat-maize or wheat-soybean strip intercropping I. Yield advantage and inerspecific interactions,1997-1998,,2x2x3 split-split-plot RCBD with 3 replicates,20 March,16 April,15 July,24 September,,38.6167,102.6667,Asia,Wheat,Maize,cereal,cereal,0,0,Strip,7500000.0,126000.0,7500000.0,126000.0,,300.0,300.0,300.0,300.0,300.0,kg N ha-1,3.0,3.0,3.0,3.0,Table 1,5.5,12.2,8.1,11.8,t ha-1,,,
004_Li_2001_Wheat_maize_or_wheat_soybean_strip_intercr,4,4,direct_llm,Li 2001 Wheat-maize or wheat-soybean strip intercropping I. Yield advantage and inerspecific interactions,1997-1998,,2x2x3 split-split-plot RCBD with 3 replicates,20 March,16 April,15 July,24 September,,38.6167,102.6667,Asia,Wheat,Maize,cereal,cereal,0,0,Strip,11250000.0,675000.0,11250000.0,675000.0,,300.0,300.0,300.0,300.0,300.0,kg N ha-1,3.0,3.0,3.0,3.0,Table 1,5.2,8.6,7.3,14.9,t ha-1,,,
