paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,randomized split‑plot,16 April 1980,16 April 1980,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,30.0,154,63.0,275,1.0,0,0,,,0.0,g N m‑2,3.0,3.0,3.0,3.0,Table 3,456,412,,,g DM m‑2,,,
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,randomized split‑plot,16 April 1980,16 April 1980,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,30.0,154,63.0,275,1.0,5,5,,,5.0,g N m‑2,3.0,3.0,3.0,3.0,Table 3,357,550,,,g DM m‑2,,,
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,randomized split‑plot,13 April 1981,13 April 1981,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,35.0,185,65.0,381,1.0,0,0,,,0.0,g N m‑2,3.0,3.0,3.0,3.0,Table 3,437,355,,,g DM m‑2,,,
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,randomized split‑plot,13 April 1981,13 April 1981,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,35.0,185,65.0,381,1.0,5,5,,,5.0,g N m‑2,3.0,3.0,3.0,3.0,Table 3,456,467,,,g DM m‑2,,,
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,randomized split‑plot,7 April 1982,7 April 1982,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,45.0,167,88.0,299,1.0,0,0,,,0.0,g N m‑2,3.0,3.0,3.0,3.0,Table 3,714,473,,,g DM m‑2,,,
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,randomized split‑plot,7 April 1982,7 April 1982,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,45.0,167,88.0,299,1.0,5,5,,,5.0,g N m‑2,3.0,3.0,3.0,3.0,Table 3,767,615,,,g DM m‑2,,,
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1984,,randomized split‑plot,16 April 1984,16 April 1984,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,48.0,178,88.0,356,1.0,0,0,,,0.0,g N m‑2,4.0,4.0,4.0,4.0,Table 3,659,332,,,g DM m‑2,,,
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,mas,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1984,,randomized split‑plot,16 April 1984,16 April 1984,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,48.0,178,88.0,356,1.0,5,5,,,5.0,g N m‑2,4.0,4.0,4.0,4.0,Table 3,661,579,,,g DM m‑2,,,
002_Hauggaard_Nielsen_2001_Interspecific_competition_N,2,2,mas,"Hauggaard-Nielsen 2001 Interspecific competition, N use and interference with weeds in pea-barley",1998,111 days,complete one-factorial randomised design,23 April 1998,23 April 1998,,,,55.6833,12.0833,Europe,Pisum sativum (field pea),Hordeum vulgare (spring barley),legume,cereal,0,0,mixed,,,70.0,300,,,,,,10.0,kg N ha‑1,8.0,8.0,8.0,8.0,Table 2,2630,3927,604,3974,kg DM ha‑1,,,1.25-1.29
003_Bulson_1997_Effects_of_plant_density_on_intercropp,3,3,mas,Bulson 1997 Effects of plant density on intercropped wheat and field beans in an organic farming system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
