paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,randomized split-plot,16 April 1980,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,30,154,63,275,,0.0,0.0,,,,g N m-2,3.0,3.0,3.0,3.0,Table 2,456.0,412.0,479.0,,g DM m-2,,,
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,randomized split-plot,16 April 1980,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,30,154,63,275,,5.0,5.0,,,,g N m-2,3.0,3.0,3.0,3.0,Table 2,357.0,550.0,541.0,,g DM m-2,,,
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,randomized split-plot,16 April 1980,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,30,154,63,275,,0.0,0.0,,,,g N m-2,3.0,3.0,3.0,3.0,Table 3,18.0,6.5,11.3,,g N m-2,,,
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1980,,randomized split-plot,16 April 1980,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,30,154,63,275,,5.0,5.0,,,,g N m-2,3.0,3.0,3.0,3.0,Table 3,14.5,9.5,11.6,,g N m-2,,,
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,randomized split-plot,13 April 1981,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,35,185,65,381,,0.0,0.0,,,,g N m-2,3.0,3.0,3.0,3.0,Table 2,437.0,355.0,509.0,,g DM m-2,,,
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,randomized split-plot,13 April 1981,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,35,185,65,381,,5.0,5.0,,,,g N m-2,3.0,3.0,3.0,3.0,Table 2,456.0,467.0,519.0,,g DM m-2,,,
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,randomized split-plot,13 April 1981,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,35,185,65,381,,0.0,0.0,,,,g N m-2,3.0,3.0,3.0,3.0,Table 3,16.8,5.3,12.9,,g N m-2,,,
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1981,,randomized split-plot,13 April 1981,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,35,185,65,381,,5.0,5.0,,,,g N m-2,3.0,3.0,3.0,3.0,Table 3,15.6,7.5,9.9,,g N m-2,,,
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,randomized split-plot,7 April 1982,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,45,167,88,299,,0.0,0.0,,,,g N m-2,3.0,3.0,3.0,3.0,Table 2,714.0,473.0,658.0,,g DM m-2,,,
001_Jensen_1996_Grain_yield_symbiotic_N2_fixation_and_,1,1,static_workflow,"Jensen 1996 Grain yield, symbiotic N2 fixation and interspecific competition for inorganic N in pea-barley",1982,,randomized split-plot,7 April 1982,,,,,55.6833,12.0833,Europe,Pisum sativum,Hordeum vulgare,legume,cereal,0,0,Mixed,45,167,88,299,,5.0,5.0,,,,g N m-2,3.0,3.0,3.0,3.0,Table 2,767.0,615.0,665.0,,g DM m-2,,,
